county,precinct,office,office,party,candidate,votes,election_day,mail,provisional
Wayne,BERLIN TOWNSHIP #1,AUDITOR GENERAL,,DEM,MALCOLM KENYATTA,152,85,67,0
Wayne,BERLIN TOWNSHIP #1,AUDITOR GENERAL,,REP,TIM DEFOOR,582,477,102,3
Wayne,BERLIN TOWNSHIP #1,AUDITOR GENERAL,,LIB,REECE SMITH,10,9,1,0
Wayne,BERLIN TOWNSHIP #1,AUDITOR GENERAL,,ASP,ERIC K ANTON,0,0,0,0
Wayne,BERLIN TOWNSHIP #1,AUDITOR GENERAL,,CST,BOB GOODRICH,7,7,0,0
Wayne,BERLIN TOWNSHIP #1,AUDITOR GENERAL,,,Write-ins,0,0,0,0
Wayne,BERLIN TOWNSHIP #1,AUDITOR GENERAL,,,Over Votes,1,,,
Wayne,BERLIN TOWNSHIP #1,AUDITOR GENERAL,,,Under Votes,22,,,
Wayne,BERLIN TOWNSHIP #1,STATE TREASURER,,DEM,ERIN MCCLELLAND,152,85,67,0
Wayne,BERLIN TOWNSHIP #1,STATE TREASURER,,REP,STACY GARRITY,589,483,103,3
Wayne,BERLIN TOWNSHIP #1,STATE TREASURER,,LIB,NICKOLAS CIESIELSKI,8,8,0,0
Wayne,BERLIN TOWNSHIP #1,STATE TREASURER,,CST,TROY BOWMAN,3,3,0,0
Wayne,BERLIN TOWNSHIP #1,STATE TREASURER,,FWD,CHRIS FOSTER,0,0,0,0
Wayne,BERLIN TOWNSHIP #1,STATE TREASURER,,,Write-ins,0,0,0,0
Wayne,BERLIN TOWNSHIP #1,STATE TREASURER,,,Over Votes,0,,,
Wayne,BERLIN TOWNSHIP #1,STATE TREASURER,,,Under Votes,22,,,
Wayne,BERLIN TOWNSHIP #1,U.S. House,8,DEM,MATT CARTWRIGHT,198,114,83,1
Wayne,BERLIN TOWNSHIP #1,U.S. House,8,REP,ROB BRESNAHAN JR,568,473,93,2
Wayne,BERLIN TOWNSHIP #1,U.S. House,8,,Write-ins,0,0,0,0
Wayne,BERLIN TOWNSHIP #1,U.S. House,8,,Over Votes,0,,,
Wayne,BERLIN TOWNSHIP #1,U.S. House,8,,Under Votes,11,,,
Wayne,BERLIN TOWNSHIP #1,State House,111,REP,JONATHAN FRITZ,659,527,129,3
Wayne,BERLIN TOWNSHIP #1,State House,111,,Write-ins,20,13,7,0
Wayne,BERLIN TOWNSHIP #1,State House,111,,Over Votes,0,,,
Wayne,BERLIN TOWNSHIP #1,State House,111,,Under Votes,95,,,
Wayne,BERLIN TOWNSHIP #2,Registered Voters,,,,925,,,
Wayne,BERLIN TOWNSHIP #2,Ballots Cast,,,,788,,,
Wayne,BERLIN TOWNSHIP #2,President,,DEM,KAMALA D HARRIS,184,88,96,0
Wayne,BERLIN TOWNSHIP #2,President,,REP,DONALD J TRUMP,590,436,150,4
Wayne,BERLIN TOWNSHIP #2,President,,LIB,CHASE OLIVER,3,2,1,0
Wayne,BERLIN TOWNSHIP #2,President,,GRN,JILL STEIN,4,4,0,0
Wayne,BERLIN TOWNSHIP #2,President,,,Write-ins,5,5,0,0
Wayne,BERLIN TOWNSHIP #2,President,,,Over Votes,1,,,
Wayne,BERLIN TOWNSHIP #2,President,,,Under Votes,1,,,
Wayne,BERLIN TOWNSHIP #2,U.S. Senate,,DEM,ROBERT P CASEY JR,194,96,98,0
Wayne,BERLIN TOWNSHIP #2,U.S. Senate,,REP,DAVE MCCORMICK,571,422,145,4
Wayne,BERLIN TOWNSHIP #2,U.S. Senate,,LIB,JOHN C THOMAS,7,6,1,0
Wayne,BERLIN TOWNSHIP #2,U.S. Senate,,GRN,LEILA HAZOU,5,4,1,0
Wayne,BERLIN TOWNSHIP #2,U.S. Senate,,CST,MARTY SELKER,4,4,0,0
Wayne,BERLIN TOWNSHIP #2,U.S. Senate,,,Write-ins,1,0,1,0
Wayne,BERLIN TOWNSHIP #2,U.S. Senate,,,Over Votes,1,,,
Wayne,BERLIN TOWNSHIP #2,U.S. Senate,,,Under Votes,5,,,
Wayne,BERLIN TOWNSHIP #2,ATTORNEY GENERAL,,DEM,EUGENE DEPASQUALE,182,88,94,0
Wayne,BERLIN TOWNSHIP #2,ATTORNEY GENERAL,,REP,DAVE SUNDAY,575,427,144,4
Wayne,BERLIN TOWNSHIP #2,ATTORNEY GENERAL,,LIB,ROBERT COWBURN,6,6,0,0
Wayne,BERLIN TOWNSHIP #2,ATTORNEY GENERAL,,GRN,RICHARD L WEISS,4,3,1,0
Wayne,BERLIN TOWNSHIP #2,ATTORNEY GENERAL,,CST,JUSTIN L MAGILL,3,2,1,0
Wayne,BERLIN TOWNSHIP #2,ATTORNEY GENERAL,,FWD,ERIC L SETTLE,1,1,0,0
Wayne,BERLIN TOWNSHIP #2,ATTORNEY GENERAL,,,Write-ins,1,1,0,0
Wayne,BERLIN TOWNSHIP #2,ATTORNEY GENERAL,,,Over Votes,1,,,
Wayne,BERLIN TOWNSHIP #2,ATTORNEY GENERAL,,,Under Votes,15,,,
Wayne,BERLIN TOWNSHIP #2,AUDITOR GENERAL,,DEM,MALCOLM KENYATTA,167,82,85,0
Wayne,BERLIN TOWNSHIP #2,AUDITOR GENERAL,,REP,TIM DEFOOR,579,427,148,4
Wayne,BERLIN TOWNSHIP #2,AUDITOR GENERAL,,LIB,REECE SMITH,8,8,0,0
Wayne,BERLIN TOWNSHIP #2,AUDITOR GENERAL,,ASP,ERIC K ANTON,1,0,1,0
Wayne,BERLIN TOWNSHIP #2,AUDITOR GENERAL,,CST,BOB GOODRICH,6,5,1,0
Wayne,BERLIN TOWNSHIP #2,AUDITOR GENERAL,,,Write-ins,2,1,1,0
Wayne,BERLIN TOWNSHIP #2,AUDITOR GENERAL,,,Over Votes,1,,,
Wayne,BERLIN TOWNSHIP #2,AUDITOR GENERAL,,,Under Votes,24,,,
Wayne,BERLIN TOWNSHIP #2,STATE TREASURER,,DEM,ERIN MCCLELLAND,169,82,87,0
Wayne,BERLIN TOWNSHIP #2,STATE TREASURER,,REP,STACY GARRITY,581,430,147,4
Wayne,BERLIN TOWNSHIP #2,STATE TREASURER,,LIB,NICKOLAS CIESIELSKI,9,8,1,0
Wayne,BERLIN TOWNSHIP #2,STATE TREASURER,,CST,TROY BOWMAN,2,1,1,0
Wayne,BERLIN TOWNSHIP #2,STATE TREASURER,,FWD,CHRIS FOSTER,2,1,1,0
Wayne,BERLIN TOWNSHIP #2,STATE TREASURER,,,Write-ins,1,0,1,0
Wayne,BERLIN TOWNSHIP #2,STATE TREASURER,,,Over Votes,2,,,
Wayne,BERLIN TOWNSHIP #2,STATE TREASURER,,,Under Votes,22,,,
Wayne,BERLIN TOWNSHIP #2,U.S. House,8,DEM,MATT CARTWRIGHT,208,105,103,0
Wayne,BERLIN TOWNSHIP #2,U.S. House,8,REP,ROB BRESNAHAN JR,565,419,142,4
Wayne,BERLIN TOWNSHIP #2,U.S. House,8,,Write-ins,1,0,1,0
Wayne,BERLIN TOWNSHIP #2,U.S. House,8,,Over Votes,0,,,
Wayne,BERLIN TOWNSHIP #2,U.S. House,8,,Under Votes,14,,,
Wayne,BERLIN TOWNSHIP #2,State House,111,REP,JONATHAN FRITZ,676,481,192,3
Wayne,BERLIN TOWNSHIP #2,State House,111,,Write-ins,16,6,10,0
Wayne,BERLIN TOWNSHIP #2,State House,111,,Over Votes,0,,,
Wayne,BERLIN TOWNSHIP #2,State House,111,,Under Votes,96,,,
Wayne,BETHANY BOROUGH,Registered Voters,,,,216,,,
Wayne,BETHANY BOROUGH,Ballots Cast,,,,177,,,
Wayne,BETHANY BOROUGH,President,,DEM,KAMALA D HARRIS,74,37,36,1
Wayne,BETHANY BOROUGH,President,,REP,DONALD J TRUMP,100,70,30,0
Wayne,BETHANY BOROUGH,President,,LIB,CHASE OLIVER,0,0,0,0
Wayne,BETHANY BOROUGH,President,,GRN,JILL STEIN,0,0,0,0
Wayne,BETHANY BOROUGH,President,,,Write-ins,2,2,0,0
Wayne,BETHANY BOROUGH,President,,,Over Votes,0,,,
Wayne,BETHANY BOROUGH,President,,,Under Votes,1,,,
Wayne,BETHANY BOROUGH,U.S. Senate,,DEM,ROBERT P CASEY JR,78,43,34,1
Wayne,BETHANY BOROUGH,U.S. Senate,,REP,DAVE MCCORMICK,91,60,31,0
Wayne,BETHANY BOROUGH,U.S. Senate,,LIB,JOHN C THOMAS,4,4,0,0
Wayne,BETHANY BOROUGH,U.S. Senate,,GRN,LEILA HAZOU,1,0,1,0
Wayne,BETHANY BOROUGH,U.S. Senate,,CST,MARTY SELKER,0,0,0,0
Wayne,BETHANY BOROUGH,U.S. Senate,,,Write-ins,0,0,0,0
Wayne,BETHANY BOROUGH,U.S. Senate,,,Over Votes,0,,,
Wayne,BETHANY BOROUGH,U.S. Senate,,,Under Votes,3,,,
Wayne,BETHANY BOROUGH,ATTORNEY GENERAL,,DEM,EUGENE DEPASQUALE,68,34,33,1
Wayne,BETHANY BOROUGH,ATTORNEY GENERAL,,REP,DAVE SUNDAY,97,67,30,0
Wayne,BETHANY BOROUGH,ATTORNEY GENERAL,,LIB,ROBERT COWBURN,4,3,1,0
Wayne,BETHANY BOROUGH,ATTORNEY GENERAL,,GRN,RICHARD L WEISS,1,1,0,0
Wayne,BETHANY BOROUGH,ATTORNEY GENERAL,,CST,JUSTIN L MAGILL,1,1,0,0
Wayne,BETHANY BOROUGH,ATTORNEY GENERAL,,FWD,ERIC L SETTLE,2,1,1,0
Wayne,BETHANY BOROUGH,ATTORNEY GENERAL,,,Write-ins,0,0,0,0
Wayne,BETHANY BOROUGH,ATTORNEY GENERAL,,,Over Votes,0,,,
Wayne,BETHANY BOROUGH,ATTORNEY GENERAL,,,Under Votes,3,,,
Wayne,BETHANY BOROUGH,AUDITOR GENERAL,,DEM,MALCOLM KENYATTA,60,25,34,1
Wayne,BETHANY BOROUGH,AUDITOR GENERAL,,REP,TIM DEFOOR,97,68,29,0
Wayne,BETHANY BOROUGH,AUDITOR GENERAL,,LIB,REECE SMITH,7,7,0,0
Wayne,BETHANY BOROUGH,AUDITOR GENERAL,,ASP,ERIC K ANTON,1,1,0,0
Wayne,BETHANY BOROUGH,AUDITOR GENERAL,,CST,BOB GOODRICH,2,2,0,0
Wayne,BETHANY BOROUGH,AUDITOR GENERAL,,,Write-ins,0,0,0,0
Wayne,BETHANY BOROUGH,AUDITOR GENERAL,,,Over Votes,0,,,
Wayne,BETHANY BOROUGH,AUDITOR GENERAL,,,Under Votes,9,,,
Wayne,BETHANY BOROUGH,STATE TREASURER,,DEM,ERIN MCCLELLAND,56,23,32,1
Wayne,BETHANY BOROUGH,STATE TREASURER,,REP,STACY GARRITY,101,71,30,0
Wayne,BETHANY BOROUGH,STATE TREASURER,,LIB,NICKOLAS CIESIELSKI,4,4,0,0
Wayne,BETHANY BOROUGH,STATE TREASURER,,CST,TROY BOWMAN,3,3,0,0
Wayne,BETHANY BOROUGH,STATE TREASURER,,FWD,CHRIS FOSTER,4,2,2,0
Wayne,BETHANY BOROUGH,STATE TREASURER,,,Write-ins,0,0,0,0
Wayne,BETHANY BOROUGH,STATE TREASURER,,,Over Votes,0,,,
Wayne,BETHANY BOROUGH,STATE TREASURER,,,Under Votes,8,,,
Wayne,BETHANY BOROUGH,U.S. House,8,DEM,MATT CARTWRIGHT,83,46,36,1
Wayne,BETHANY BOROUGH,U.S. House,8,REP,ROB BRESNAHAN JR,90,61,29,0
Wayne,BETHANY BOROUGH,U.S. House,8,,Write-ins,0,0,0,0
Wayne,BETHANY BOROUGH,U.S. House,8,,Over Votes,0,,,
Wayne,BETHANY BOROUGH,U.S. House,8,,Under Votes,4,,,
Wayne,BETHANY BOROUGH,State House,111,REP,JONATHAN FRITZ,139,96,42,1
Wayne,BETHANY BOROUGH,State House,111,,Write-ins,3,1,2,0
Wayne,BETHANY BOROUGH,State House,111,,Over Votes,0,,,
Wayne,BETHANY BOROUGH,State House,111,,Under Votes,34,,,
Wayne,BUCKINGHAM TOWNSHIP,Registered Voters,,,,406,,,
Wayne,BUCKINGHAM TOWNSHIP,Ballots Cast,,,,312,,,
Wayne,BUCKINGHAM TOWNSHIP,President,,DEM,KAMALA D HARRIS,91,50,41,0
Wayne,BUCKINGHAM TOWNSHIP,President,,REP,DONALD J TRUMP,216,176,39,1
Wayne,BUCKINGHAM TOWNSHIP,President,,LIB,CHASE OLIVER,3,2,1,0
Wayne,BUCKINGHAM TOWNSHIP,President,,GRN,JILL STEIN,1,1,0,0
Wayne,BUCKINGHAM TOWNSHIP,President,,,Write-ins,0,0,0,0
Wayne,BUCKINGHAM TOWNSHIP,President,,,Over Votes,0,,,
Wayne,BUCKINGHAM TOWNSHIP,President,,,Under Votes,1,,,
Wayne,BUCKINGHAM TOWNSHIP,U.S. Senate,,DEM,ROBERT P CASEY JR,101,62,39,0
Wayne,BUCKINGHAM TOWNSHIP,U.S. Senate,,REP,DAVE MCCORMICK,204,163,40,1
Wayne,BUCKINGHAM TOWNSHIP,U.S. Senate,,LIB,JOHN C THOMAS,3,3,0,0
Wayne,BUCKINGHAM TOWNSHIP,U.S. Senate,,GRN,LEILA HAZOU,0,0,0,0
Wayne,BUCKINGHAM TOWNSHIP,U.S. Senate,,CST,MARTY SELKER,0,0,0,0
Wayne,BUCKINGHAM TOWNSHIP,U.S. Senate,,,Write-ins,0,0,0,0
Wayne,BUCKINGHAM TOWNSHIP,U.S. Senate,,,Over Votes,0,,,
Wayne,BUCKINGHAM TOWNSHIP,U.S. Senate,,,Under Votes,4,,,
Wayne,BUCKINGHAM TOWNSHIP,ATTORNEY GENERAL,,DEM,EUGENE DEPASQUALE,87,51,36,0
Wayne,BUCKINGHAM TOWNSHIP,ATTORNEY GENERAL,,REP,DAVE SUNDAY,214,172,41,1
Wayne,BUCKINGHAM TOWNSHIP,ATTORNEY GENERAL,,LIB,ROBERT COWBURN,3,3,0,0
Wayne,BUCKINGHAM TOWNSHIP,ATTORNEY GENERAL,,GRN,RICHARD L WEISS,1,0,1,0
Wayne,BUCKINGHAM TOWNSHIP,ATTORNEY GENERAL,,CST,JUSTIN L MAGILL,0,0,0,0
Wayne,BUCKINGHAM TOWNSHIP,ATTORNEY GENERAL,,FWD,ERIC L SETTLE,1,0,1,0
Wayne,BUCKINGHAM TOWNSHIP,ATTORNEY GENERAL,,,Write-ins,0,0,0,0
Wayne,BUCKINGHAM TOWNSHIP,ATTORNEY GENERAL,,,Over Votes,0,,,
Wayne,BUCKINGHAM TOWNSHIP,ATTORNEY GENERAL,,,Under Votes,6,,,
Wayne,BUCKINGHAM TOWNSHIP,AUDITOR GENERAL,,DEM,MALCOLM KENYATTA,80,45,35,0
Wayne,BUCKINGHAM TOWNSHIP,AUDITOR GENERAL,,REP,TIM DEFOOR,208,165,42,1
Wayne,BUCKINGHAM TOWNSHIP,AUDITOR GENERAL,,LIB,REECE SMITH,6,6,0,0
Wayne,BUCKINGHAM TOWNSHIP,AUDITOR GENERAL,,ASP,ERIC K ANTON,1,1,0,0
Wayne,BUCKINGHAM TOWNSHIP,AUDITOR GENERAL,,CST,BOB GOODRICH,6,4,2,0
Wayne,BUCKINGHAM TOWNSHIP,AUDITOR GENERAL,,,Write-ins,0,0,0,0
Wayne,BUCKINGHAM TOWNSHIP,AUDITOR GENERAL,,,Over Votes,0,,,
Wayne,BUCKINGHAM TOWNSHIP,AUDITOR GENERAL,,,Under Votes,11,,,
Wayne,BUCKINGHAM TOWNSHIP,STATE TREASURER,,DEM,ERIN MCCLELLAND,80,46,34,0
Wayne,BUCKINGHAM TOWNSHIP,STATE TREASURER,,REP,STACY GARRITY,211,167,43,1
Wayne,BUCKINGHAM TOWNSHIP,STATE TREASURER,,LIB,NICKOLAS CIESIELSKI,3,3,0,0
Wayne,BUCKINGHAM TOWNSHIP,STATE TREASURER,,CST,TROY BOWMAN,4,2,2,0
Wayne,BUCKINGHAM TOWNSHIP,STATE TREASURER,,FWD,CHRIS FOSTER,1,1,0,0
Wayne,BUCKINGHAM TOWNSHIP,STATE TREASURER,,,Write-ins,0,0,0,0
Wayne,BUCKINGHAM TOWNSHIP,STATE TREASURER,,,Over Votes,0,,,
Wayne,BUCKINGHAM TOWNSHIP,STATE TREASURER,,,Under Votes,13,,,
Wayne,BUCKINGHAM TOWNSHIP,U.S. House,8,DEM,MATT CARTWRIGHT,103,64,39,0
Wayne,BUCKINGHAM TOWNSHIP,U.S. House,8,REP,ROB BRESNAHAN JR,200,159,40,1
Wayne,BUCKINGHAM TOWNSHIP,U.S. House,8,,Write-ins,1,1,0,0
Wayne,BUCKINGHAM TOWNSHIP,U.S. House,8,,Over Votes,0,,,
Wayne,BUCKINGHAM TOWNSHIP,U.S. House,8,,Under Votes,8,,,
Wayne,BUCKINGHAM TOWNSHIP,State House,111,REP,JONATHAN FRITZ,254,199,54,1
Wayne,BUCKINGHAM TOWNSHIP,State House,111,,Write-ins,9,6,3,0
Wayne,BUCKINGHAM TOWNSHIP,State House,111,,Over Votes,0,,,
Wayne,BUCKINGHAM TOWNSHIP,State House,111,,Under Votes,49,,,
Wayne,CANAAN TOWNSHIP,Registered Voters,,,,659,,,
Wayne,CANAAN TOWNSHIP,Ballots Cast,,,,546,,,
Wayne,CANAAN TOWNSHIP,President,,DEM,KAMALA D HARRIS,144,80,63,1
Wayne,CANAAN TOWNSHIP,President,,REP,DONALD J TRUMP,399,319,77,3
Wayne,CANAAN TOWNSHIP,President,,LIB,CHASE OLIVER,1,1,0,0
Wayne,CANAAN TOWNSHIP,President,,GRN,JILL STEIN,1,0,1,0
Wayne,CANAAN TOWNSHIP,President,,,Write-ins,0,0,0,0
Wayne,CANAAN TOWNSHIP,President,,,Over Votes,0,,,
Wayne,CANAAN TOWNSHIP,President,,,Under Votes,1,,,
Wayne,CANAAN TOWNSHIP,U.S. Senate,,DEM,ROBERT P CASEY JR,158,88,69,1
Wayne,CANAAN TOWNSHIP,U.S. Senate,,REP,DAVE MCCORMICK,377,302,72,3
Wayne,CANAAN TOWNSHIP,U.S. Senate,,LIB,JOHN C THOMAS,2,2,0,0
Wayne,CANAAN TOWNSHIP,U.S. Senate,,GRN,LEILA HAZOU,3,3,0,0
Wayne,CANAAN TOWNSHIP,U.S. Senate,,CST,MARTY SELKER,1,1,0,0
Wayne,CANAAN TOWNSHIP,U.S. Senate,,,Write-ins,0,0,0,0
Wayne,CANAAN TOWNSHIP,U.S. Senate,,,Over Votes,0,,,
Wayne,CANAAN TOWNSHIP,U.S. Senate,,,Under Votes,5,,,
Wayne,CANAAN TOWNSHIP,ATTORNEY GENERAL,,DEM,EUGENE DEPASQUALE,147,85,61,1
Wayne,CANAAN TOWNSHIP,ATTORNEY GENERAL,,REP,DAVE SUNDAY,380,301,76,3
Wayne,CANAAN TOWNSHIP,ATTORNEY GENERAL,,LIB,ROBERT COWBURN,2,2,0,0
Wayne,CANAAN TOWNSHIP,ATTORNEY GENERAL,,GRN,RICHARD L WEISS,6,6,0,0
Wayne,CANAAN TOWNSHIP,ATTORNEY GENERAL,,CST,JUSTIN L MAGILL,2,2,0,0
Wayne,CANAAN TOWNSHIP,ATTORNEY GENERAL,,FWD,ERIC L SETTLE,0,0,0,0
Wayne,CANAAN TOWNSHIP,ATTORNEY GENERAL,,,Write-ins,0,0,0,0
Wayne,CANAAN TOWNSHIP,ATTORNEY GENERAL,,,Over Votes,0,,,
Wayne,CANAAN TOWNSHIP,ATTORNEY GENERAL,,,Under Votes,8,,,
Wayne,CANAAN TOWNSHIP,AUDITOR GENERAL,,DEM,MALCOLM KENYATTA,126,71,54,1
Wayne,CANAAN TOWNSHIP,AUDITOR GENERAL,,REP,TIM DEFOOR,389,302,84,3
Wayne,CANAAN TOWNSHIP,AUDITOR GENERAL,,LIB,REECE SMITH,10,10,0,0
Wayne,CANAAN TOWNSHIP,AUDITOR GENERAL,,ASP,ERIC K ANTON,4,4,0,0
Wayne,CANAAN TOWNSHIP,AUDITOR GENERAL,,CST,BOB GOODRICH,7,5,2,0
Wayne,CANAAN TOWNSHIP,AUDITOR GENERAL,,,Write-ins,0,0,0,0
Wayne,CANAAN TOWNSHIP,AUDITOR GENERAL,,,Over Votes,1,,,
Wayne,CANAAN TOWNSHIP,AUDITOR GENERAL,,,Under Votes,8,,,
Wayne,CANAAN TOWNSHIP,STATE TREASURER,,DEM,ERIN MCCLELLAND,125,74,50,1
Wayne,CANAAN TOWNSHIP,STATE TREASURER,,REP,STACY GARRITY,407,313,91,3
Wayne,CANAAN TOWNSHIP,STATE TREASURER,,LIB,NICKOLAS CIESIELSKI,4,4,0,0
Wayne,CANAAN TOWNSHIP,STATE TREASURER,,CST,TROY BOWMAN,2,2,0,0
Wayne,CANAAN TOWNSHIP,STATE TREASURER,,FWD,CHRIS FOSTER,1,1,0,0
Wayne,CANAAN TOWNSHIP,STATE TREASURER,,,Write-ins,0,0,0,0
Wayne,CANAAN TOWNSHIP,STATE TREASURER,,,Over Votes,0,,,
Wayne,CANAAN TOWNSHIP,STATE TREASURER,,,Under Votes,6,,,
Wayne,CANAAN TOWNSHIP,U.S. House,8,DEM,MATT CARTWRIGHT,159,95,63,1
Wayne,CANAAN TOWNSHIP,U.S. House,8,REP,ROB BRESNAHAN JR,379,298,78,3
Wayne,CANAAN TOWNSHIP,U.S. House,8,,Write-ins,1,1,0,0
Wayne,CANAAN TOWNSHIP,U.S. House,8,,Over Votes,0,,,
Wayne,CANAAN TOWNSHIP,U.S. House,8,,Under Votes,7,,,
Wayne,CANAAN TOWNSHIP,State House,111,REP,JONATHAN FRITZ,474,354,116,4
Wayne,CANAAN TOWNSHIP,State House,111,,Write-ins,9,5,4,0
Wayne,CANAAN TOWNSHIP,State House,111,,Over Votes,0,,,
Wayne,CANAAN TOWNSHIP,State House,111,,Under Votes,62,,,
Wayne,CHERRY RIDGE TOWNSHIP,Registered Voters,,,,1418,,,
Wayne,CHERRY RIDGE TOWNSHIP,Ballots Cast,,,,1162,,,
Wayne,CHERRY RIDGE TOWNSHIP,President,,DEM,KAMALA D HARRIS,354,183,170,1
Wayne,CHERRY RIDGE TOWNSHIP,President,,REP,DONALD J TRUMP,791,614,173,4
Wayne,CHERRY RIDGE TOWNSHIP,President,,LIB,CHASE OLIVER,6,5,1,0
Wayne,CHERRY RIDGE TOWNSHIP,President,,GRN,JILL STEIN,4,3,1,0
Wayne,CHERRY RIDGE TOWNSHIP,President,,,Write-ins,1,1,0,0
Wayne,CHERRY RIDGE TOWNSHIP,President,,,Over Votes,2,,,
Wayne,CHERRY RIDGE TOWNSHIP,President,,,Under Votes,4,,,
Wayne,CHERRY RIDGE TOWNSHIP,U.S. Senate,,DEM,ROBERT P CASEY JR,366,191,174,1
Wayne,CHERRY RIDGE TOWNSHIP,U.S. Senate,,REP,DAVE MCCORMICK,767,597,166,4
Wayne,CHERRY RIDGE TOWNSHIP,U.S. Senate,,LIB,JOHN C THOMAS,8,8,0,0
Wayne,CHERRY RIDGE TOWNSHIP,U.S. Senate,,GRN,LEILA HAZOU,9,5,4,0
Wayne,CHERRY RIDGE TOWNSHIP,U.S. Senate,,CST,MARTY SELKER,2,2,0,0
Wayne,CHERRY RIDGE TOWNSHIP,U.S. Senate,,,Write-ins,0,0,0,0
Wayne,CHERRY RIDGE TOWNSHIP,U.S. Senate,,,Over Votes,0,,,
Wayne,CHERRY RIDGE TOWNSHIP,U.S. Senate,,,Under Votes,10,,,
Wayne,CHERRY RIDGE TOWNSHIP,ATTORNEY GENERAL,,DEM,EUGENE DEPASQUALE,327,164,162,1
Wayne,CHERRY RIDGE TOWNSHIP,ATTORNEY GENERAL,,REP,DAVE SUNDAY,769,598,167,4
Wayne,CHERRY RIDGE TOWNSHIP,ATTORNEY GENERAL,,LIB,ROBERT COWBURN,15,12,3,0
Wayne,CHERRY RIDGE TOWNSHIP,ATTORNEY GENERAL,,GRN,RICHARD L WEISS,10,9,1,0
Wayne,CHERRY RIDGE TOWNSHIP,ATTORNEY GENERAL,,CST,JUSTIN L MAGILL,4,3,1,0
Wayne,CHERRY RIDGE TOWNSHIP,ATTORNEY GENERAL,,FWD,ERIC L SETTLE,1,0,1,0
Wayne,CHERRY RIDGE TOWNSHIP,ATTORNEY GENERAL,,,Write-ins,0,0,0,0
Wayne,CHERRY RIDGE TOWNSHIP,ATTORNEY GENERAL,,,Over Votes,0,,,
Wayne,CHERRY RIDGE TOWNSHIP,ATTORNEY GENERAL,,,Under Votes,35,,,
Wayne,CHERRY RIDGE TOWNSHIP,AUDITOR GENERAL,,DEM,MALCOLM KENYATTA,298,143,154,1
Wayne,CHERRY RIDGE TOWNSHIP,AUDITOR GENERAL,,REP,TIM DEFOOR,767,593,170,4
Wayne,CHERRY RIDGE TOWNSHIP,AUDITOR GENERAL,,LIB,REECE SMITH,25,20,5,0
Wayne,CHERRY RIDGE TOWNSHIP,AUDITOR GENERAL,,ASP,ERIC K ANTON,1,0,1,0
Wayne,CHERRY RIDGE TOWNSHIP,AUDITOR GENERAL,,CST,BOB GOODRICH,14,13,1,0
Wayne,CHERRY RIDGE TOWNSHIP,AUDITOR GENERAL,,,Write-ins,0,0,0,0
Wayne,CHERRY RIDGE TOWNSHIP,AUDITOR GENERAL,,,Over Votes,0,,,
