county,precinct,office,district,party,candidate,votes,election_day,mail,provisional,federal
Centre,1-BELLEFONTE NORTH,ATTORNEY GENERAL,,,Over Votes,0,0,0,0,0
Centre,1-BELLEFONTE NORTH,ATTORNEY GENERAL,,,Under Votes,5,2,3,0,0
Centre,1-BELLEFONTE NORTH,AUDITOR GENERAL,,DEM,NINA AHMAD,219,105,114,0,0
Centre,1-BELLEFONTE NORTH,AUDITOR GENERAL,,REP,TIMOTHY DEFOOR,188,156,31,1,0
Centre,1-BELLEFONTE NORTH,AUDITOR GENERAL,,LIB,JENNIFER MOORE,17,8,9,0,0
Centre,1-BELLEFONTE NORTH,AUDITOR GENERAL,,GRN,OLIVIA FAISON,7,4,3,0,0
Centre,1-BELLEFONTE NORTH,AUDITOR GENERAL,,,Write-ins,1,1,0,0,0
Centre,1-BELLEFONTE NORTH,AUDITOR GENERAL,,,Not Assigned,1,1,0,0,0
Centre,1-BELLEFONTE NORTH,AUDITOR GENERAL,,,Over Votes,0,0,0,0,0
Centre,1-BELLEFONTE NORTH,AUDITOR GENERAL,,,Under Votes,11,5,6,0,0
Centre,1-BELLEFONTE NORTH,STATE TREASURER,,DEM,JOE TORSELLA,230,110,120,0,0
Centre,1-BELLEFONTE NORTH,STATE TREASURER,,REP,STACY L GARRITY,181,153,27,1,0
Centre,1-BELLEFONTE NORTH,STATE TREASURER,,LIB,JOE SOLOSKI,12,7,5,0,0
Centre,1-BELLEFONTE NORTH,STATE TREASURER,,GRN,TIMOTHY RUNKLE,9,5,4,0,0
Centre,1-BELLEFONTE NORTH,STATE TREASURER,,,Write-ins,1,1,0,0,0
Centre,1-BELLEFONTE NORTH,STATE TREASURER,,,Not Assigned,1,1,0,0,0
Centre,1-BELLEFONTE NORTH,STATE TREASURER,,,Over Votes,0,0,0,0,0
Centre,1-BELLEFONTE NORTH,STATE TREASURER,,,Under Votes,10,3,7,0,0
Centre,1-BELLEFONTE NORTH,U.S. House,15,DEM,ROBERT WILLIAMS,223,102,121,0,0
Centre,1-BELLEFONTE NORTH,U.S. House,15,REP,GLENN GT THOMPSON,208,172,35,1,0
Centre,1-BELLEFONTE NORTH,U.S. House,15,,Write-ins,1,1,0,0,0
Centre,1-BELLEFONTE NORTH,U.S. House,15,,Not Assigned,1,1,0,0,0
Centre,1-BELLEFONTE NORTH,U.S. House,15,,Over Votes,0,0,0,0,0
Centre,1-BELLEFONTE NORTH,U.S. House,15,,Under Votes,11,4,7,0,0
Centre,1-BELLEFONTE NORTH,State Assembly,171,DEM,PETER BUCK,211,98,113,0,0
Centre,1-BELLEFONTE NORTH,State Assembly,171,REP,KERRY A BENNINGHOFF,224,177,46,1,0
Centre,1-BELLEFONTE NORTH,State Assembly,171,,Write-ins,1,1,0,0,0
Centre,1-BELLEFONTE NORTH,State Assembly,171,,Not Assigned,1,1,0,0,0
Centre,1-BELLEFONTE NORTH,State Assembly,171,,Over Votes,0,0,0,0,0
Centre,1-BELLEFONTE NORTH,State Assembly,171,,Under Votes,7,3,4,0,0
Centre,2-BELLEFONTE NORTHEAST,Registered Voters,,,,911,,,,
Centre,2-BELLEFONTE NORTHEAST,Ballots Cast,,,,778,419,349,10,0
Centre,2-BELLEFONTE NORTHEAST,Ballots Cast - Blank,,,,0,0,0,0,0
Centre,2-BELLEFONTE NORTHEAST,President,,DEM,Joseph R. Biden,358,114,240,4,0
Centre,2-BELLEFONTE NORTHEAST,President,,REP,Donald J. Trump,407,300,101,6,0
Centre,2-BELLEFONTE NORTHEAST,President,,LIB,Jo Jorgensen,10,3,7,0,0
Centre,2-BELLEFONTE NORTHEAST,President,,,Write-ins,1,1,0,0,0
Centre,2-BELLEFONTE NORTHEAST,President,,,Write-In: Andrew Yang & variations,0,0,0,0,0
Centre,2-BELLEFONTE NORTHEAST,President,,,Write-In: Brian Carroll & variations,0,0,0,0,0
Centre,2-BELLEFONTE NORTHEAST,President,,,Write-In: Jade Simmons & variations,0,0,0,0,0
Centre,2-BELLEFONTE NORTHEAST,President,,,Write-In: Scattered,1,1,0,0,0
Centre,2-BELLEFONTE NORTHEAST,President,,,Write-In: Bernie Sanders & variations,0,0,0,0,0
Centre,2-BELLEFONTE NORTHEAST,President,,,Write-In: Howie Hawkins & variations,0,0,0,0,0
Centre,2-BELLEFONTE NORTHEAST,President,,,Not Assigned,0,0,0,0,0
Centre,2-BELLEFONTE NORTHEAST,President,,,Over Votes,0,0,0,0,0
Centre,2-BELLEFONTE NORTHEAST,President,,,Under Votes,2,1,1,0,0
Centre,2-BELLEFONTE NORTHEAST,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,353,124,225,4,0
Centre,2-BELLEFONTE NORTHEAST,ATTORNEY GENERAL,,REP,HEATHER HEIDELBAUGH,383,273,105,5,0
Centre,2-BELLEFONTE NORTHEAST,ATTORNEY GENERAL,,LIB,DANIEL WASSMER,12,9,3,0,0
Centre,2-BELLEFONTE NORTHEAST,ATTORNEY GENERAL,,GRN,RICHARD L WEISS,7,4,3,0,0
Centre,2-BELLEFONTE NORTHEAST,ATTORNEY GENERAL,,,Write-ins,0,0,0,0,0
Centre,2-BELLEFONTE NORTHEAST,ATTORNEY GENERAL,,,Not Assigned,0,0,0,0,0
Centre,2-BELLEFONTE NORTHEAST,ATTORNEY GENERAL,,,Over Votes,1,0,1,0,0
Centre,2-BELLEFONTE NORTHEAST,ATTORNEY GENERAL,,,Under Votes,22,9,12,1,0
Centre,2-BELLEFONTE NORTHEAST,AUDITOR GENERAL,,DEM,NINA AHMAD,300,87,211,2,0
Centre,2-BELLEFONTE NORTHEAST,AUDITOR GENERAL,,REP,TIMOTHY DEFOOR,410,291,113,6,0
Centre,2-BELLEFONTE NORTHEAST,AUDITOR GENERAL,,LIB,JENNIFER MOORE,27,17,10,0,0
Centre,2-BELLEFONTE NORTHEAST,AUDITOR GENERAL,,GRN,OLIVIA FAISON,8,6,1,1,0
Centre,2-BELLEFONTE NORTHEAST,AUDITOR GENERAL,,,Write-ins,0,0,0,0,0
Centre,2-BELLEFONTE NORTHEAST,AUDITOR GENERAL,,,Not Assigned,0,0,0,0,0
Centre,2-BELLEFONTE NORTHEAST,AUDITOR GENERAL,,,Over Votes,0,0,0,0,0
Centre,2-BELLEFONTE NORTHEAST,AUDITOR GENERAL,,,Under Votes,33,18,14,1,0
Centre,2-BELLEFONTE NORTHEAST,STATE TREASURER,,DEM,JOE TORSELLA,341,121,217,3,0
Centre,2-BELLEFONTE NORTHEAST,STATE TREASURER,,REP,STACY L GARRITY,375,262,108,5,0
Centre,2-BELLEFONTE NORTHEAST,STATE TREASURER,,LIB,JOE SOLOSKI,20,14,5,1,0
Centre,2-BELLEFONTE NORTHEAST,STATE TREASURER,,GRN,TIMOTHY RUNKLE,9,6,3,0,0
Centre,2-BELLEFONTE NORTHEAST,STATE TREASURER,,,Write-ins,1,0,1,0,0
Centre,2-BELLEFONTE NORTHEAST,STATE TREASURER,,,Not Assigned,1,0,1,0,0
Centre,2-BELLEFONTE NORTHEAST,STATE TREASURER,,,Over Votes,0,0,0,0,0
Centre,2-BELLEFONTE NORTHEAST,STATE TREASURER,,,Under Votes,32,16,15,1,0
Centre,2-BELLEFONTE NORTHEAST,U.S. House,15,DEM,ROBERT WILLIAMS,313,98,211,4,0
Centre,2-BELLEFONTE NORTHEAST,U.S. House,15,REP,GLENN GT THOMPSON,450,314,130,6,0
Centre,2-BELLEFONTE NORTHEAST,U.S. House,15,,Write-ins,0,0,0,0,0
Centre,2-BELLEFONTE NORTHEAST,U.S. House,15,,Not Assigned,0,0,0,0,0
Centre,2-BELLEFONTE NORTHEAST,U.S. House,15,,Over Votes,0,0,0,0,0
Centre,2-BELLEFONTE NORTHEAST,U.S. House,15,,Under Votes,15,7,8,0,0
Centre,2-BELLEFONTE NORTHEAST,State Assembly,171,DEM,PETER BUCK,281,86,191,4,0
Centre,2-BELLEFONTE NORTHEAST,State Assembly,171,REP,KERRY A BENNINGHOFF,481,327,149,5,0
Centre,2-BELLEFONTE NORTHEAST,State Assembly,171,,Write-ins,0,0,0,0,0
Centre,2-BELLEFONTE NORTHEAST,State Assembly,171,,Not Assigned,0,0,0,0,0
Centre,2-BELLEFONTE NORTHEAST,State Assembly,171,,Over Votes,0,0,0,0,0
Centre,2-BELLEFONTE NORTHEAST,State Assembly,171,,Under Votes,16,6,9,1,0
Centre,3-BELLEFONTE SOUTH,Registered Voters,,,,729,,,,
Centre,3-BELLEFONTE SOUTH,Ballots Cast,,,,509,297,211,1,0
Centre,3-BELLEFONTE SOUTH,Ballots Cast - Blank,,,,0,0,0,0,0
Centre,3-BELLEFONTE SOUTH,President,,DEM,Joseph R. Biden,292,119,172,1,0
Centre,3-BELLEFONTE SOUTH,President,,REP,Donald J. Trump,207,169,38,0,0
Centre,3-BELLEFONTE SOUTH,President,,LIB,Jo Jorgensen,7,6,1,0,0
Centre,3-BELLEFONTE SOUTH,President,,,Write-ins,2,2,0,0,0
Centre,3-BELLEFONTE SOUTH,President,,,Write-In: Andrew Yang & variations,1,1,0,0,0
Centre,3-BELLEFONTE SOUTH,President,,,Write-In: Brian Carroll & variations,1,1,0,0,0
Centre,3-BELLEFONTE SOUTH,President,,,Write-In: Jade Simmons & variations,0,0,0,0,0
Centre,3-BELLEFONTE SOUTH,President,,,Write-In: Scattered,0,0,0,0,0
Centre,3-BELLEFONTE SOUTH,President,,,Write-In: Bernie Sanders & variations,0,0,0,0,0
Centre,3-BELLEFONTE SOUTH,President,,,Write-In: Howie Hawkins & variations,0,0,0,0,0
Centre,3-BELLEFONTE SOUTH,President,,,Not Assigned,0,0,0,0,0
Centre,3-BELLEFONTE SOUTH,President,,,Over Votes,0,0,0,0,0
Centre,3-BELLEFONTE SOUTH,President,,,Under Votes,1,1,0,0,0
Centre,3-BELLEFONTE SOUTH,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,292,122,169,1,0
Centre,3-BELLEFONTE SOUTH,ATTORNEY GENERAL,,REP,HEATHER HEIDELBAUGH,191,156,35,0,0
Centre,3-BELLEFONTE SOUTH,ATTORNEY GENERAL,,LIB,DANIEL WASSMER,15,13,2,0,0
Centre,3-BELLEFONTE SOUTH,ATTORNEY GENERAL,,GRN,RICHARD L WEISS,9,5,4,0,0
Centre,3-BELLEFONTE SOUTH,ATTORNEY GENERAL,,,Write-ins,0,0,0,0,0
Centre,3-BELLEFONTE SOUTH,ATTORNEY GENERAL,,,Not Assigned,0,0,0,0,0
Centre,3-BELLEFONTE SOUTH,ATTORNEY GENERAL,,,Over Votes,0,0,0,0,0
Centre,3-BELLEFONTE SOUTH,ATTORNEY GENERAL,,,Under Votes,2,1,1,0,0
Centre,3-BELLEFONTE SOUTH,AUDITOR GENERAL,,DEM,NINA AHMAD,261,106,154,1,0
Centre,3-BELLEFONTE SOUTH,AUDITOR GENERAL,,REP,TIMOTHY DEFOOR,209,163,46,0,0
Centre,3-BELLEFONTE SOUTH,AUDITOR GENERAL,,LIB,JENNIFER MOORE,24,18,6,0,0
Centre,3-BELLEFONTE SOUTH,AUDITOR GENERAL,,GRN,OLIVIA FAISON,10,8,2,0,0
Centre,3-BELLEFONTE SOUTH,AUDITOR GENERAL,,,Write-ins,0,0,0,0,0
Centre,3-BELLEFONTE SOUTH,AUDITOR GENERAL,,,Not Assigned,0,0,0,0,0
Centre,3-BELLEFONTE SOUTH,AUDITOR GENERAL,,,Over Votes,0,0,0,0,0
Centre,3-BELLEFONTE SOUTH,AUDITOR GENERAL,,,Under Votes,5,2,3,0,0
Centre,3-BELLEFONTE SOUTH,STATE TREASURER,,DEM,JOE TORSELLA,268,111,156,1,0
Centre,3-BELLEFONTE SOUTH,STATE TREASURER,,REP,STACY L GARRITY,208,166,42,0,0
Centre,3-BELLEFONTE SOUTH,STATE TREASURER,,LIB,JOE SOLOSKI,16,12,4,0,0
Centre,3-BELLEFONTE SOUTH,STATE TREASURER,,GRN,TIMOTHY RUNKLE,13,7,6,0,0
Centre,3-BELLEFONTE SOUTH,STATE TREASURER,,,Write-ins,0,0,0,0,0
Centre,3-BELLEFONTE SOUTH,STATE TREASURER,,,Not Assigned,0,0,0,0,0
Centre,3-BELLEFONTE SOUTH,STATE TREASURER,,,Over Votes,0,0,0,0,0
Centre,3-BELLEFONTE SOUTH,STATE TREASURER,,,Under Votes,4,1,3,0,0
Centre,3-BELLEFONTE SOUTH,U.S. House,15,DEM,ROBERT WILLIAMS,273,110,163,0,0
Centre,3-BELLEFONTE SOUTH,U.S. House,15,REP,GLENN GT THOMPSON,231,184,47,0,0
Centre,3-BELLEFONTE SOUTH,U.S. House,15,,Write-ins,0,0,0,0,0
Centre,3-BELLEFONTE SOUTH,U.S. House,15,,Not Assigned,0,0,0,0,0
Centre,3-BELLEFONTE SOUTH,U.S. House,15,,Over Votes,0,0,0,0,0
Centre,3-BELLEFONTE SOUTH,U.S. House,15,,Under Votes,5,3,1,1,0
Centre,3-BELLEFONTE SOUTH,State Assembly,171,DEM,PETER BUCK,245,101,143,1,0
Centre,3-BELLEFONTE SOUTH,State Assembly,171,REP,KERRY A BENNINGHOFF,260,193,67,0,0
Centre,3-BELLEFONTE SOUTH,State Assembly,171,,Write-ins,0,0,0,0,0
Centre,3-BELLEFONTE SOUTH,State Assembly,171,,Not Assigned,0,0,0,0,0
Centre,3-BELLEFONTE SOUTH,State Assembly,171,,Over Votes,0,0,0,0,0
Centre,3-BELLEFONTE SOUTH,State Assembly,171,,Under Votes,4,3,1,0,0
Centre,4-BELLEFONTE SOUTHEAST,Registered Voters,,,,973,,,,
Centre,4-BELLEFONTE SOUTHEAST,Ballots Cast,,,,765,492,263,10,0
Centre,4-BELLEFONTE SOUTHEAST,Ballots Cast - Blank,,,,0,0,0,0,0
Centre,4-BELLEFONTE SOUTHEAST,President,,DEM,Joseph R. Biden,345,148,194,3,0
Centre,4-BELLEFONTE SOUTHEAST,President,,REP,Donald J. Trump,405,337,63,5,0
Centre,4-BELLEFONTE SOUTHEAST,President,,LIB,Jo Jorgensen,11,5,5,1,0
Centre,4-BELLEFONTE SOUTHEAST,President,,,Write-ins,3,2,1,0,0
Centre,4-BELLEFONTE SOUTHEAST,President,,,Write-In: Andrew Yang & variations,0,0,0,0,0
Centre,4-BELLEFONTE SOUTHEAST,President,,,Write-In: Brian Carroll & variations,0,0,0,0,0
Centre,4-BELLEFONTE SOUTHEAST,President,,,Write-In: Jade Simmons & variations,0,0,0,0,0
Centre,4-BELLEFONTE SOUTHEAST,President,,,Write-In: Scattered,3,2,1,0,0
Centre,4-BELLEFONTE SOUTHEAST,President,,,Write-In: Bernie Sanders & variations,0,0,0,0,0
Centre,4-BELLEFONTE SOUTHEAST,President,,,Write-In: Howie Hawkins & variations,0,0,0,0,0
Centre,4-BELLEFONTE SOUTHEAST,President,,,Not Assigned,0,0,0,0,0
Centre,4-BELLEFONTE SOUTHEAST,President,,,Over Votes,0,0,0,0,0
Centre,4-BELLEFONTE SOUTHEAST,President,,,Under Votes,1,0,0,1,0
Centre,4-BELLEFONTE SOUTHEAST,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,338,154,181,3,0
Centre,4-BELLEFONTE SOUTHEAST,ATTORNEY GENERAL,,REP,HEATHER HEIDELBAUGH,384,314,64,6,0
Centre,4-BELLEFONTE SOUTHEAST,ATTORNEY GENERAL,,LIB,DANIEL WASSMER,23,14,9,0,0
Centre,4-BELLEFONTE SOUTHEAST,ATTORNEY GENERAL,,GRN,RICHARD L WEISS,12,5,7,0,0
Centre,4-BELLEFONTE SOUTHEAST,ATTORNEY GENERAL,,,Write-ins,1,0,1,0,0
Centre,4-BELLEFONTE SOUTHEAST,ATTORNEY GENERAL,,,Not Assigned,1,0,1,0,0
Centre,4-BELLEFONTE SOUTHEAST,ATTORNEY GENERAL,,,Over Votes,0,0,0,0,0
Centre,4-BELLEFONTE SOUTHEAST,ATTORNEY GENERAL,,,Under Votes,7,5,1,1,0
Centre,4-BELLEFONTE SOUTHEAST,AUDITOR GENERAL,,DEM,NINA AHMAD,288,120,166,2,0
Centre,4-BELLEFONTE SOUTHEAST,AUDITOR GENERAL,,REP,TIMOTHY DEFOOR,413,333,73,7,0
Centre,4-BELLEFONTE SOUTHEAST,AUDITOR GENERAL,,LIB,JENNIFER MOORE,30,22,8,0,0
Centre,4-BELLEFONTE SOUTHEAST,AUDITOR GENERAL,,GRN,OLIVIA FAISON,19,8,10,1,0
Centre,4-BELLEFONTE SOUTHEAST,AUDITOR GENERAL,,,Write-ins,1,0,1,0,0
Centre,4-BELLEFONTE SOUTHEAST,AUDITOR GENERAL,,,Not Assigned,1,0,1,0,0
Centre,4-BELLEFONTE SOUTHEAST,AUDITOR GENERAL,,,Over Votes,0,0,0,0,0
Centre,4-BELLEFONTE SOUTHEAST,AUDITOR GENERAL,,,Under Votes,14,9,5,0,0
Centre,4-BELLEFONTE SOUTHEAST,STATE TREASURER,,DEM,JOE TORSELLA,324,139,182,3,0
Centre,4-BELLEFONTE SOUTHEAST,STATE TREASURER,,REP,STACY L GARRITY,387,321,61,5,0
Centre,4-BELLEFONTE SOUTHEAST,STATE TREASURER,,LIB,JOE SOLOSKI,31,19,11,1,0
Centre,4-BELLEFONTE SOUTHEAST,STATE TREASURER,,GRN,TIMOTHY RUNKLE,12,6,6,0,0
Centre,4-BELLEFONTE SOUTHEAST,STATE TREASURER,,,Write-ins,0,0,0,0,0
Centre,4-BELLEFONTE SOUTHEAST,STATE TREASURER,,,Not Assigned,0,0,0,0,0
Centre,4-BELLEFONTE SOUTHEAST,STATE TREASURER,,,Over Votes,0,0,0,0,0
Centre,4-BELLEFONTE SOUTHEAST,STATE TREASURER,,,Under Votes,11,7,3,1,0
Centre,4-BELLEFONTE SOUTHEAST,U.S. House,15,DEM,ROBERT WILLIAMS,303,123,177,3,0
Centre,4-BELLEFONTE SOUTHEAST,U.S. House,15,REP,GLENN GT THOMPSON,445,357,82,6,0
Centre,4-BELLEFONTE SOUTHEAST,U.S. House,15,,Write-ins,0,0,0,0,0
Centre,4-BELLEFONTE SOUTHEAST,U.S. House,15,,Not Assigned,0,0,0,0,0
Centre,4-BELLEFONTE SOUTHEAST,U.S. House,15,,Over Votes,0,0,0,0,0
Centre,4-BELLEFONTE SOUTHEAST,U.S. House,15,,Under Votes,17,12,4,1,0
Centre,4-BELLEFONTE SOUTHEAST,State Assembly,171,DEM,PETER BUCK,269,103,165,1,0
Centre,4-BELLEFONTE SOUTHEAST,State Assembly,171,REP,KERRY A BENNINGHOFF,486,382,95,9,0
Centre,4-BELLEFONTE SOUTHEAST,State Assembly,171,,Write-ins,0,0,0,0,0
Centre,4-BELLEFONTE SOUTHEAST,State Assembly,171,,Not Assigned,0,0,0,0,0
Centre,4-BELLEFONTE SOUTHEAST,State Assembly,171,,Over Votes,0,0,0,0,0
Centre,4-BELLEFONTE SOUTHEAST,State Assembly,171,,Under Votes,10,7,3,0,0
Centre,5-BELLEFONTE WEST,Registered Voters,,,,1464,,,,
Centre,5-BELLEFONTE WEST,Ballots Cast,,,,1046,596,443,7,0
Centre,5-BELLEFONTE WEST,Ballots Cast - Blank,,,,0,0,0,0,0
Centre,5-BELLEFONTE WEST,President,,DEM,Joseph R. Biden,576,213,358,5,0
Centre,5-BELLEFONTE WEST,President,,REP,Donald J. Trump,448,370,76,2,0
Centre,5-BELLEFONTE WEST,President,,LIB,Jo Jorgensen,13,8,5,0,0
Centre,5-BELLEFONTE WEST,President,,,Write-ins,7,3,4,0,0
Centre,5-BELLEFONTE WEST,President,,,Write-In: Andrew Yang & variations,0,0,0,0,0
Centre,5-BELLEFONTE WEST,President,,,Write-In: Brian Carroll & variations,1,1,0,0,0
Centre,5-BELLEFONTE WEST,President,,,Write-In: Jade Simmons & variations,0,0,0,0,0
Centre,5-BELLEFONTE WEST,President,,,Write-In: Scattered,4,2,2,0,0
Centre,5-BELLEFONTE WEST,President,,,Write-In: Bernie Sanders & variations,0,0,0,0,0
Centre,5-BELLEFONTE WEST,President,,,Write-In: Howie Hawkins & variations,2,0,2,0,0
Centre,5-BELLEFONTE WEST,President,,,Not Assigned,0,0,0,0,0
Centre,5-BELLEFONTE WEST,President,,,Over Votes,0,0,0,0,0
Centre,5-BELLEFONTE WEST,President,,,Under Votes,2,2,0,0,0
Centre,5-BELLEFONTE WEST,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,536,208,324,4,0
Centre,5-BELLEFONTE WEST,ATTORNEY GENERAL,,REP,HEATHER HEIDELBAUGH,427,342,84,1,0
Centre,5-BELLEFONTE WEST,ATTORNEY GENERAL,,LIB,DANIEL WASSMER,40,26,13,1,0
Centre,5-BELLEFONTE WEST,ATTORNEY GENERAL,,GRN,RICHARD L WEISS,23,11,11,1,0
Centre,5-BELLEFONTE WEST,ATTORNEY GENERAL,,,Write-ins,1,0,1,0,0
Centre,5-BELLEFONTE WEST,ATTORNEY GENERAL,,,Not Assigned,1,0,1,0,0
Centre,5-BELLEFONTE WEST,ATTORNEY GENERAL,,,Over Votes,0,0,0,0,0
Centre,5-BELLEFONTE WEST,ATTORNEY GENERAL,,,Under Votes,19,9,10,0,0
Centre,5-BELLEFONTE WEST,AUDITOR GENERAL,,DEM,NINA AHMAD,499,178,317,4,0
Centre,5-BELLEFONTE WEST,AUDITOR GENERAL,,REP,TIMOTHY DEFOOR,441,352,88,1,0
Centre,5-BELLEFONTE WEST,AUDITOR GENERAL,,LIB,JENNIFER MOORE,60,42,18,0,0
Centre,5-BELLEFONTE WEST,AUDITOR GENERAL,,GRN,OLIVIA FAISON,20,9,9,2,0
Centre,5-BELLEFONTE WEST,AUDITOR GENERAL,,,Write-ins,1,0,1,0,0
Centre,5-BELLEFONTE WEST,AUDITOR GENERAL,,,Not Assigned,1,0,1,0,0
Centre,5-BELLEFONTE WEST,AUDITOR GENERAL,,,Over Votes,0,0,0,0,0
Centre,5-BELLEFONTE WEST,AUDITOR GENERAL,,,Under Votes,25,15,10,0,0
Centre,5-BELLEFONTE WEST,STATE TREASURER,,DEM,JOE TORSELLA,521,202,316,3,0
Centre,5-BELLEFONTE WEST,STATE TREASURER,,REP,STACY L GARRITY,419,337,80,2,0
Centre,5-BELLEFONTE WEST,STATE TREASURER,,LIB,JOE SOLOSKI,56,36,19,1,0
Centre,5-BELLEFONTE WEST,STATE TREASURER,,GRN,TIMOTHY RUNKLE,26,10,15,1,0
Centre,5-BELLEFONTE WEST,STATE TREASURER,,,Write-ins,2,1,1,0,0
Centre,5-BELLEFONTE WEST,STATE TREASURER,,,Not Assigned,2,1,1,0,0
Centre,5-BELLEFONTE WEST,STATE TREASURER,,,Over Votes,0,0,0,0,0
Centre,5-BELLEFONTE WEST,STATE TREASURER,,,Under Votes,22,10,12,0,0
Centre,5-BELLEFONTE WEST,U.S. House,15,DEM,ROBERT WILLIAMS,527,197,324,6,0
Centre,5-BELLEFONTE WEST,U.S. House,15,REP,GLENN GT THOMPSON,494,385,108,1,0
Centre,5-BELLEFONTE WEST,U.S. House,15,,Write-ins,6,2,4,0,0
Centre,5-BELLEFONTE WEST,U.S. House,15,,Not Assigned,6,2,4,0,0
Centre,5-BELLEFONTE WEST,U.S. House,15,,Over Votes,0,0,0,0,0
Centre,5-BELLEFONTE WEST,U.S. House,15,,Under Votes,19,12,7,0,0
Centre,5-BELLEFONTE WEST,State Assembly,171,DEM,PETER BUCK,488,173,311,4,0
Centre,5-BELLEFONTE WEST,State Assembly,171,REP,KERRY A BENNINGHOFF,537,410,124,3,0
Centre,5-BELLEFONTE WEST,State Assembly,171,,Write-ins,1,1,0,0,0
Centre,5-BELLEFONTE WEST,State Assembly,171,,Not Assigned,1,1,0,0,0
Centre,5-BELLEFONTE WEST,State Assembly,171,,Over Votes,0,0,0,0,0
Centre,5-BELLEFONTE WEST,State Assembly,171,,Under Votes,20,12,8,0,0
Centre,36-BENNER NORTH,Registered Voters,,,,1486,,,,
Centre,36-BENNER NORTH,Ballots Cast,,,,1304,860,432,12,0
Centre,36-BENNER NORTH,Ballots Cast - Blank,,,,0,0,0,0,0
Centre,36-BENNER NORTH,President,,DEM,Joseph R. Biden,445,174,266,5,0
Centre,36-BENNER NORTH,President,,REP,Donald J. Trump,828,672,149,7,0
Centre,36-BENNER NORTH,President,,LIB,Jo Jorgensen,19,10,9,0,0
Centre,36-BENNER NORTH,President,,,Write-ins,6,3,3,0,0
Centre,36-BENNER NORTH,President,,,Write-In: Andrew Yang & variations,0,0,0,0,0
Centre,36-BENNER NORTH,President,,,Write-In: Brian Carroll & variations,0,0,0,0,0
Centre,36-BENNER NORTH,President,,,Write-In: Jade Simmons & variations,0,0,0,0,0
Centre,36-BENNER NORTH,President,,,Write-In: Scattered,4,3,1,0,0
Centre,36-BENNER NORTH,President,,,Write-In: Bernie Sanders & variations,0,0,0,0,0
Centre,36-BENNER NORTH,President,,,Write-In: Howie Hawkins & variations,2,0,2,0,0
Centre,36-BENNER NORTH,President,,,Not Assigned,0,0,0,0,0
Centre,36-BENNER NORTH,President,,,Over Votes,1,1,0,0,0
Centre,36-BENNER NORTH,President,,,Under Votes,5,0,5,0,0
Centre,36-BENNER NORTH,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,454,186,263,5,0
Centre,36-BENNER NORTH,ATTORNEY GENERAL,,REP,HEATHER HEIDELBAUGH,811,642,162,7,0
Centre,36-BENNER NORTH,ATTORNEY GENERAL,,LIB,DANIEL WASSMER,21,17,4,0,0
Centre,36-BENNER NORTH,ATTORNEY GENERAL,,GRN,RICHARD L WEISS,4,3,1,0,0
Centre,36-BENNER NORTH,ATTORNEY GENERAL,,,Write-ins,0,0,0,0,0
