county,precint,office,district,party,candidate,votes
Clearfield,BRISBIN BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,  Not Assigned,0
Clearfield,BRISBIN BOROUGH,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,53
Clearfield,BRISBIN BOROUGH,ATTORNEY GENERAL, ,REP,Write-In Totals,0
Clearfield,BRISBIN BOROUGH,ATTORNEY GENERAL, ,REP,   Write-In: SCATTERED,0
Clearfield,BRISBIN BOROUGH,ATTORNEY GENERAL, ,REP,   Write-In: JOSH SHAPIRO,0
Clearfield,BRISBIN BOROUGH,ATTORNEY GENERAL, ,REP,  Not Assigned,0
Clearfield,BRISBIN BOROUGH,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,53
Clearfield,BRISBIN BOROUGH,AUDITOR GENERAL, ,REP,Write-In Totals,0
Clearfield,BRISBIN BOROUGH,AUDITOR GENERAL, ,REP,   Write-In: NINA AHMAD,0
Clearfield,BRISBIN BOROUGH,AUDITOR GENERAL, ,REP,   Write-In: TRACIE FOUNTAIN,0
Clearfield,BRISBIN BOROUGH,AUDITOR GENERAL, ,REP,   Write-In: SCATTERED,0
Clearfield,BRISBIN BOROUGH,AUDITOR GENERAL, ,REP,   Write-In: MICHAEL LAMB,0
Clearfield,BRISBIN BOROUGH,AUDITOR GENERAL, ,REP,   Write-In: SCOTT CONKLIN,0
Clearfield,BRISBIN BOROUGH,AUDITOR GENERAL, ,REP,  Not Assigned,0
Clearfield,BRISBIN BOROUGH,STATE TREASURER, ,REP,STACY L GARRITY,54
Clearfield,BRISBIN BOROUGH,STATE TREASURER, ,REP,Write-In Totals,0
Clearfield,BRISBIN BOROUGH,STATE TREASURER, ,REP,   Write-In: JOE TORSELLA,0
Clearfield,BRISBIN BOROUGH,STATE TREASURER, ,REP,   Write-In: SCATTERED,0
Clearfield,BRISBIN BOROUGH,STATE TREASURER, ,REP,  Not Assigned,0
Clearfield,BRISBIN BOROUGH,REPRESENTATIVE IN CONGRESS, ,REP,GLENN GT THOMPSON,59
Clearfield,BRISBIN BOROUGH,REPRESENTATIVE IN CONGRESS, ,REP,Write-In Totals,0
Clearfield,BRISBIN BOROUGH,REPRESENTATIVE IN CONGRESS, ,REP,   Write-In: ROBERT WILLIAMS,0
Clearfield,BRISBIN BOROUGH,REPRESENTATIVE IN CONGRESS, ,REP,   Write-In: SCATTERED,0
Clearfield,BRISBIN BOROUGH,REPRESENTATIVE IN CONGRESS, ,REP,  Not Assigned,0
Clearfield,BRISBIN BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,REP,TOMMY SANKEY,58
Clearfield,BRISBIN BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,REP,Write-In Totals,0
Clearfield,BRISBIN BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,REP,   Write-In: SCATTERED,0
Clearfield,BRISBIN BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,REP,  Not Assigned,0
Clearfield,BURNSIDE BOROUGH,Registered Voters - Total, , ,Registered Voters - Total,97
Clearfield,BURNSIDE BOROUGH,Registered Voters - DEMOCRATIC, ,DEM,Registered Voters - DEMOCRATIC,39
Clearfield,BURNSIDE BOROUGH,Registered Voters - REPUBLICAN, ,REP,Registered Voters - REPUBLICAN,58
Clearfield,BURNSIDE BOROUGH,Registered Voters - NONPARTISAN, ,NPA,Registered Voters - NONPARTISAN,0
Clearfield,BURNSIDE BOROUGH,Ballots Cast - Total, , ,Ballots Cast - Total,46
Clearfield,BURNSIDE BOROUGH,Ballots Cast - DEMOCRATIC, ,DEM,Ballots Cast - DEMOCRATIC,21
Clearfield,BURNSIDE BOROUGH,Ballots Cast - REPUBLICAN, ,REP,Ballots Cast - REPUBLICAN,25
Clearfield,BURNSIDE BOROUGH,Ballots Cast - NONPARTISAN, ,NPA,Ballots Cast - NONPARTISAN,0
Clearfield,BURNSIDE BOROUGH,PRESIDENT OF THE UNITED STATES, ,DEM,BERNIE SANDERS,4
Clearfield,BURNSIDE BOROUGH,PRESIDENT OF THE UNITED STATES, ,DEM,JOSEPH R BIDEN,7
Clearfield,BURNSIDE BOROUGH,PRESIDENT OF THE UNITED STATES, ,DEM,TULSI GABBARD,4
Clearfield,BURNSIDE BOROUGH,PRESIDENT OF THE UNITED STATES, ,DEM,Write-In Totals,4
Clearfield,BURNSIDE BOROUGH,PRESIDENT OF THE UNITED STATES, ,DEM,   Write-In: DONALD J TRUMP,3
Clearfield,BURNSIDE BOROUGH,PRESIDENT OF THE UNITED STATES, ,DEM,   Write-In: SCATTERED,1
Clearfield,BURNSIDE BOROUGH,PRESIDENT OF THE UNITED STATES, ,DEM,  Not Assigned,0
Clearfield,BURNSIDE BOROUGH,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,18
Clearfield,BURNSIDE BOROUGH,ATTORNEY GENERAL, ,DEM,Write-In Totals,0
Clearfield,BURNSIDE BOROUGH,ATTORNEY GENERAL, ,DEM,   Write-In: SCATTERED,0
Clearfield,BURNSIDE BOROUGH,ATTORNEY GENERAL, ,DEM,   Write-In: HEATHER HEIDELBAUGH,0
Clearfield,BURNSIDE BOROUGH,ATTORNEY GENERAL, ,DEM,  Not Assigned,0
Clearfield,BURNSIDE BOROUGH,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,14
Clearfield,BURNSIDE BOROUGH,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,3
Clearfield,BURNSIDE BOROUGH,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,1
Clearfield,BURNSIDE BOROUGH,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,0
Clearfield,BURNSIDE BOROUGH,AUDITOR GENERAL, ,DEM,NINA AHMAD,0
Clearfield,BURNSIDE BOROUGH,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,2
Clearfield,BURNSIDE BOROUGH,AUDITOR GENERAL, ,DEM,Write-In Totals,0
Clearfield,BURNSIDE BOROUGH,AUDITOR GENERAL, ,DEM,   Write-In: TIMOTHY DEFOOR,0
Clearfield,BURNSIDE BOROUGH,AUDITOR GENERAL, ,DEM,   Write-In: SCATTERED,0
Clearfield,BURNSIDE BOROUGH,AUDITOR GENERAL, ,DEM,  Not Assigned,0
Clearfield,BURNSIDE BOROUGH,STATE TREASURER, ,DEM,JOE TORSELLA,19
Clearfield,BURNSIDE BOROUGH,STATE TREASURER, ,DEM,Write-In Totals,0
Clearfield,BURNSIDE BOROUGH,STATE TREASURER, ,DEM,   Write-In: STACEY GARRITY,0
Clearfield,BURNSIDE BOROUGH,STATE TREASURER, ,DEM,   Write-In: SCATTERED,0
Clearfield,BURNSIDE BOROUGH,STATE TREASURER, ,DEM,  Not Assigned,0
Clearfield,BURNSIDE BOROUGH,REPRESENTATIVE IN CONGRESS, ,DEM,ROBERT WILLIAMS,19
Clearfield,BURNSIDE BOROUGH,REPRESENTATIVE IN CONGRESS, ,DEM,Write-In Totals,0
Clearfield,BURNSIDE BOROUGH,REPRESENTATIVE IN CONGRESS, ,DEM,   Write-In: GLENN GT THOMPSON,0
Clearfield,BURNSIDE BOROUGH,REPRESENTATIVE IN CONGRESS, ,DEM,   Write-In: SCATTERED,0
Clearfield,BURNSIDE BOROUGH,REPRESENTATIVE IN CONGRESS, ,DEM,  Not Assigned,0
Clearfield,BURNSIDE BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,DEM,Write-In Totals,0
Clearfield,BURNSIDE BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,DEM,   Write-In: SCATTERED,0
Clearfield,BURNSIDE BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,DEM,   Write-In: TOMMY SANKEY,0
Clearfield,BURNSIDE BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,DEM,  Not Assigned,0
Clearfield,BURNSIDE BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,DONALD J TRUMP,24
Clearfield,BURNSIDE BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,ROQUE ROCKY DE LA FUENTE,0
Clearfield,BURNSIDE BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,BILL WELD,0
Clearfield,BURNSIDE BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,Write-In Totals,0
Clearfield,BURNSIDE BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,   Write-In: BERNIE SANDERS,0
Clearfield,BURNSIDE BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,   Write-In: JOSEPH BIDEN,0
Clearfield,BURNSIDE BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,   Write-In: SCATTERED,0
Clearfield,BURNSIDE BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,  Not Assigned,0
Clearfield,BURNSIDE BOROUGH,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,21
Clearfield,BURNSIDE BOROUGH,ATTORNEY GENERAL, ,REP,Write-In Totals,0
Clearfield,BURNSIDE BOROUGH,ATTORNEY GENERAL, ,REP,   Write-In: SCATTERED,0
Clearfield,BURNSIDE BOROUGH,ATTORNEY GENERAL, ,REP,   Write-In: JOSH SHAPIRO,0
Clearfield,BURNSIDE BOROUGH,ATTORNEY GENERAL, ,REP,  Not Assigned,0
Clearfield,BURNSIDE BOROUGH,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,19
Clearfield,BURNSIDE BOROUGH,AUDITOR GENERAL, ,REP,Write-In Totals,0
Clearfield,BURNSIDE BOROUGH,AUDITOR GENERAL, ,REP,   Write-In: NINA AHMAD,0
Clearfield,BURNSIDE BOROUGH,AUDITOR GENERAL, ,REP,   Write-In: TRACIE FOUNTAIN,0
Clearfield,BURNSIDE BOROUGH,AUDITOR GENERAL, ,REP,   Write-In: SCATTERED,0
Clearfield,BURNSIDE BOROUGH,AUDITOR GENERAL, ,REP,   Write-In: MICHAEL LAMB,0
Clearfield,BURNSIDE BOROUGH,AUDITOR GENERAL, ,REP,   Write-In: SCOTT CONKLIN,0
Clearfield,BURNSIDE BOROUGH,AUDITOR GENERAL, ,REP,  Not Assigned,0
Clearfield,BURNSIDE BOROUGH,STATE TREASURER, ,REP,STACY L GARRITY,20
Clearfield,BURNSIDE BOROUGH,STATE TREASURER, ,REP,Write-In Totals,0
Clearfield,BURNSIDE BOROUGH,STATE TREASURER, ,REP,   Write-In: JOE TORSELLA,0
Clearfield,BURNSIDE BOROUGH,STATE TREASURER, ,REP,   Write-In: SCATTERED,0
Clearfield,BURNSIDE BOROUGH,STATE TREASURER, ,REP,  Not Assigned,0
Clearfield,BURNSIDE BOROUGH,REPRESENTATIVE IN CONGRESS, ,REP,GLENN GT THOMPSON,23
Clearfield,BURNSIDE BOROUGH,REPRESENTATIVE IN CONGRESS, ,REP,Write-In Totals,0
Clearfield,BURNSIDE BOROUGH,REPRESENTATIVE IN CONGRESS, ,REP,   Write-In: ROBERT WILLIAMS,0
Clearfield,BURNSIDE BOROUGH,REPRESENTATIVE IN CONGRESS, ,REP,   Write-In: SCATTERED,0
Clearfield,BURNSIDE BOROUGH,REPRESENTATIVE IN CONGRESS, ,REP,  Not Assigned,0
Clearfield,BURNSIDE BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,REP,TOMMY SANKEY,24
Clearfield,BURNSIDE BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,REP,Write-In Totals,0
Clearfield,BURNSIDE BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,REP,   Write-In: SCATTERED,0
Clearfield,BURNSIDE BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,REP,  Not Assigned,0
Clearfield,CHESTER HILL BOROUGH,Registered Voters - Total, , ,Registered Voters - Total,404
Clearfield,CHESTER HILL BOROUGH,Registered Voters - DEMOCRATIC, ,DEM,Registered Voters - DEMOCRATIC,179
Clearfield,CHESTER HILL BOROUGH,Registered Voters - REPUBLICAN, ,REP,Registered Voters - REPUBLICAN,225
Clearfield,CHESTER HILL BOROUGH,Registered Voters - NONPARTISAN, ,NPA,Registered Voters - NONPARTISAN,0
Clearfield,CHESTER HILL BOROUGH,Ballots Cast - Total, , ,Ballots Cast - Total,162
Clearfield,CHESTER HILL BOROUGH,Ballots Cast - DEMOCRATIC, ,DEM,Ballots Cast - DEMOCRATIC,71
Clearfield,CHESTER HILL BOROUGH,Ballots Cast - REPUBLICAN, ,REP,Ballots Cast - REPUBLICAN,91
Clearfield,CHESTER HILL BOROUGH,Ballots Cast - NONPARTISAN, ,NPA,Ballots Cast - NONPARTISAN,0
Clearfield,CHESTER HILL BOROUGH,PRESIDENT OF THE UNITED STATES, ,DEM,BERNIE SANDERS,7
Clearfield,CHESTER HILL BOROUGH,PRESIDENT OF THE UNITED STATES, ,DEM,JOSEPH R BIDEN,49
Clearfield,CHESTER HILL BOROUGH,PRESIDENT OF THE UNITED STATES, ,DEM,TULSI GABBARD,8
Clearfield,CHESTER HILL BOROUGH,PRESIDENT OF THE UNITED STATES, ,DEM,Write-In Totals,4
Clearfield,CHESTER HILL BOROUGH,PRESIDENT OF THE UNITED STATES, ,DEM,   Write-In: DONALD J TRUMP,3
Clearfield,CHESTER HILL BOROUGH,PRESIDENT OF THE UNITED STATES, ,DEM,   Write-In: SCATTERED,1
Clearfield,CHESTER HILL BOROUGH,PRESIDENT OF THE UNITED STATES, ,DEM,  Not Assigned,0
Clearfield,CHESTER HILL BOROUGH,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,66
Clearfield,CHESTER HILL BOROUGH,ATTORNEY GENERAL, ,DEM,Write-In Totals,0
Clearfield,CHESTER HILL BOROUGH,ATTORNEY GENERAL, ,DEM,   Write-In: SCATTERED,0
Clearfield,CHESTER HILL BOROUGH,ATTORNEY GENERAL, ,DEM,   Write-In: HEATHER HEIDELBAUGH,0
Clearfield,CHESTER HILL BOROUGH,ATTORNEY GENERAL, ,DEM,  Not Assigned,0
Clearfield,CHESTER HILL BOROUGH,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,54
Clearfield,CHESTER HILL BOROUGH,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,8
Clearfield,CHESTER HILL BOROUGH,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,3
Clearfield,CHESTER HILL BOROUGH,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,1
Clearfield,CHESTER HILL BOROUGH,AUDITOR GENERAL, ,DEM,NINA AHMAD,0
Clearfield,CHESTER HILL BOROUGH,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,4
Clearfield,CHESTER HILL BOROUGH,AUDITOR GENERAL, ,DEM,Write-In Totals,0
Clearfield,CHESTER HILL BOROUGH,AUDITOR GENERAL, ,DEM,   Write-In: TIMOTHY DEFOOR,0
Clearfield,CHESTER HILL BOROUGH,AUDITOR GENERAL, ,DEM,   Write-In: SCATTERED,0
Clearfield,CHESTER HILL BOROUGH,AUDITOR GENERAL, ,DEM,  Not Assigned,0
Clearfield,CHESTER HILL BOROUGH,STATE TREASURER, ,DEM,JOE TORSELLA,67
Clearfield,CHESTER HILL BOROUGH,STATE TREASURER, ,DEM,Write-In Totals,0
Clearfield,CHESTER HILL BOROUGH,STATE TREASURER, ,DEM,   Write-In: STACEY GARRITY,0
Clearfield,CHESTER HILL BOROUGH,STATE TREASURER, ,DEM,   Write-In: SCATTERED,0
Clearfield,CHESTER HILL BOROUGH,STATE TREASURER, ,DEM,  Not Assigned,0
Clearfield,CHESTER HILL BOROUGH,REPRESENTATIVE IN CONGRESS, ,DEM,ROBERT WILLIAMS,68
Clearfield,CHESTER HILL BOROUGH,REPRESENTATIVE IN CONGRESS, ,DEM,Write-In Totals,0
Clearfield,CHESTER HILL BOROUGH,REPRESENTATIVE IN CONGRESS, ,DEM,   Write-In: GLENN GT THOMPSON,0
Clearfield,CHESTER HILL BOROUGH,REPRESENTATIVE IN CONGRESS, ,DEM,   Write-In: SCATTERED,0
Clearfield,CHESTER HILL BOROUGH,REPRESENTATIVE IN CONGRESS, ,DEM,  Not Assigned,0
Clearfield,CHESTER HILL BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,DEM,Write-In Totals,5
Clearfield,CHESTER HILL BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,DEM,   Write-In: SCATTERED,5
Clearfield,CHESTER HILL BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,DEM,   Write-In: TOMMY SANKEY,0
Clearfield,CHESTER HILL BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,DEM,  Not Assigned,0
Clearfield,CHESTER HILL BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,DONALD J TRUMP,86
Clearfield,CHESTER HILL BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,ROQUE ROCKY DE LA FUENTE,2
Clearfield,CHESTER HILL BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,BILL WELD,1
Clearfield,CHESTER HILL BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,Write-In Totals,1
Clearfield,CHESTER HILL BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,   Write-In: BERNIE SANDERS,0
Clearfield,CHESTER HILL BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,   Write-In: JOSEPH BIDEN,1
Clearfield,CHESTER HILL BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,   Write-In: SCATTERED,0
Clearfield,CHESTER HILL BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,  Not Assigned,0
Clearfield,CHESTER HILL BOROUGH,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,83
Clearfield,CHESTER HILL BOROUGH,ATTORNEY GENERAL, ,REP,Write-In Totals,0
Clearfield,CHESTER HILL BOROUGH,ATTORNEY GENERAL, ,REP,   Write-In: SCATTERED,0
Clearfield,CHESTER HILL BOROUGH,ATTORNEY GENERAL, ,REP,   Write-In: JOSH SHAPIRO,0
Clearfield,CHESTER HILL BOROUGH,ATTORNEY GENERAL, ,REP,  Not Assigned,0
Clearfield,CHESTER HILL BOROUGH,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,83
Clearfield,CHESTER HILL BOROUGH,AUDITOR GENERAL, ,REP,Write-In Totals,0
Clearfield,CHESTER HILL BOROUGH,AUDITOR GENERAL, ,REP,   Write-In: NINA AHMAD,0
Clearfield,CHESTER HILL BOROUGH,AUDITOR GENERAL, ,REP,   Write-In: TRACIE FOUNTAIN,0
Clearfield,CHESTER HILL BOROUGH,AUDITOR GENERAL, ,REP,   Write-In: SCATTERED,0
Clearfield,CHESTER HILL BOROUGH,AUDITOR GENERAL, ,REP,   Write-In: MICHAEL LAMB,0
Clearfield,CHESTER HILL BOROUGH,AUDITOR GENERAL, ,REP,   Write-In: SCOTT CONKLIN,0
Clearfield,CHESTER HILL BOROUGH,AUDITOR GENERAL, ,REP,  Not Assigned,0
Clearfield,CHESTER HILL BOROUGH,STATE TREASURER, ,REP,STACY L GARRITY,85
Clearfield,CHESTER HILL BOROUGH,STATE TREASURER, ,REP,Write-In Totals,0
Clearfield,CHESTER HILL BOROUGH,STATE TREASURER, ,REP,   Write-In: JOE TORSELLA,0
Clearfield,CHESTER HILL BOROUGH,STATE TREASURER, ,REP,   Write-In: SCATTERED,0
Clearfield,CHESTER HILL BOROUGH,STATE TREASURER, ,REP,  Not Assigned,0
Clearfield,CHESTER HILL BOROUGH,REPRESENTATIVE IN CONGRESS, ,REP,GLENN GT THOMPSON,86
Clearfield,CHESTER HILL BOROUGH,REPRESENTATIVE IN CONGRESS, ,REP,Write-In Totals,1
Clearfield,CHESTER HILL BOROUGH,REPRESENTATIVE IN CONGRESS, ,REP,   Write-In: ROBERT WILLIAMS,0
Clearfield,CHESTER HILL BOROUGH,REPRESENTATIVE IN CONGRESS, ,REP,   Write-In: SCATTERED,1
Clearfield,CHESTER HILL BOROUGH,REPRESENTATIVE IN CONGRESS, ,REP,  Not Assigned,0
Clearfield,CHESTER HILL BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,REP,TOMMY SANKEY,87
Clearfield,CHESTER HILL BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,REP,Write-In Totals,0
Clearfield,CHESTER HILL BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,REP,   Write-In: SCATTERED,0
Clearfield,CHESTER HILL BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,REP,  Not Assigned,0
Clearfield,CLEARFIELD BOROUGH - 1ST WARD,Registered Voters - Total, , ,Registered Voters - Total,780
Clearfield,CLEARFIELD BOROUGH - 1ST WARD,Registered Voters - DEMOCRATIC, ,DEM,Registered Voters - DEMOCRATIC,334
Clearfield,CLEARFIELD BOROUGH - 1ST WARD,Registered Voters - REPUBLICAN, ,REP,Registered Voters - REPUBLICAN,446
Clearfield,CLEARFIELD BOROUGH - 1ST WARD,Registered Voters - NONPARTISAN, ,NPA,Registered Voters - NONPARTISAN,0
Clearfield,CLEARFIELD BOROUGH - 1ST WARD,Ballots Cast - Total, , ,Ballots Cast - Total,332
Clearfield,CLEARFIELD BOROUGH - 1ST WARD,Ballots Cast - DEMOCRATIC, ,DEM,Ballots Cast - DEMOCRATIC,142
Clearfield,CLEARFIELD BOROUGH - 1ST WARD,Ballots Cast - REPUBLICAN, ,REP,Ballots Cast - REPUBLICAN,190
