county,precinct,office,district,party,candidate,election_day,mail_in,votes
Mercer,Clark,General Assembly,7,REP,Mark Longietti,1,3,4
Mercer,Coolspring,Registered Voters,,,,,,1262
Mercer,Coolspring,Registered Voters,,DEM,,,,408
Mercer,Coolspring,Registered Voters,,REP,,,,854
Mercer,Coolspring,Registered Voters,,NPA,,,,0
Mercer,Coolspring,Ballots Cast,,,,252,210,462
Mercer,Coolspring,Ballots Cast,,DEM,,45,98,143
Mercer,Coolspring,Ballots Cast,,REP,,207,112,319
Mercer,Coolspring,Ballots Cast,,NPA,,0,0,0
Mercer,Coolspring,President,,DEM,Bernie Sanders,8,7,15
Mercer,Coolspring,President,,DEM,Joseph R. Biden,23,78,101
Mercer,Coolspring,President,,DEM,Tulsi Gabbard,4,1,5
Mercer,Coolspring,President,,DEM,Elizabeth Warren,2,4,6
Mercer,Coolspring,President,,DEM,Write-In,5,6,11
Mercer,Coolspring,Attorney General,,DEM,Josh Shapiro,40,90,130
Mercer,Coolspring,Attorney General,,DEM,Write-In,1,1,2
Mercer,Coolspring,Auditor General,,DEM,H. Scott Conklin,8,7,15
Mercer,Coolspring,Auditor General,,DEM,Michael Lamb,22,58,80
Mercer,Coolspring,Auditor General,,DEM,Tracie Fountain,1,4,5
Mercer,Coolspring,Auditor General,,DEM,Rose Rosie Marie Davis,4,4,8
Mercer,Coolspring,Auditor General,,DEM,Nina Ahmad,5,9,14
Mercer,Coolspring,Auditor General,,DEM,Christina M. Hartman,4,10,14
Mercer,Coolspring,Auditor General,,DEM,Write-In,0,0,0
Mercer,Coolspring,State Treasurer,,DEM,Joe Torsella,41,87,128
Mercer,Coolspring,State Treasurer,,DEM,Write-In,0,1,1
Mercer,Coolspring,U.S. House,16,DEM,Kristy Gnibus,42,86,128
Mercer,Coolspring,U.S. House,16,DEM,Write-In,0,1,1
Mercer,Coolspring,General Assembly,8,DEM,Phil Heasley,40,85,125
Mercer,Coolspring,General Assembly,8,DEM,Write-In,1,1,2
Mercer,Coolspring,President,,REP,Donald J. Trump,195,92,287
Mercer,Coolspring,President,,REP,Roque Rocky De La Fuente,2,4,6
Mercer,Coolspring,President,,REP,Bill Weld,7,8,15
Mercer,Coolspring,President,,REP,Write-In,2,3,5
Mercer,Coolspring,Attorney General,,REP,Heather Heidelbaugh,188,93,281
Mercer,Coolspring,Attorney General,,REP,Write-In,0,0,0
Mercer,Coolspring,Auditor General,,REP,Timothy Defoor,180,89,269
Mercer,Coolspring,Auditor General,,REP,Write-In,0,0,0
Mercer,Coolspring,State Treasurer,,REP,Stacy L. Garrity,184,88,272
Mercer,Coolspring,State Treasurer,,REP,Write-In,0,0,0
Mercer,Coolspring,U.S. House,16,REP,Mike Kelly,197,96,293
Mercer,Coolspring,U.S. House,16,REP,Write-In,0,2,2
Mercer,Coolspring,General Assembly,8,REP,Scott Jaillet,40,30,70
Mercer,Coolspring,General Assembly,8,REP,Tim Bonner,163,74,237
Mercer,Coolspring,General Assembly,8,REP,Write-In,0,0,0
Mercer,Deer Creek,Registered Voters,,,,,,262
Mercer,Deer Creek,Registered Voters,,DEM,,,,86
Mercer,Deer Creek,Registered Voters,,REP,,,,176
Mercer,Deer Creek,Registered Voters,,NPA,,,,0
Mercer,Deer Creek,Ballots Cast,,,,98,18,116
Mercer,Deer Creek,Ballots Cast,,DEM,,19,15,34
Mercer,Deer Creek,Ballots Cast,,REP,,79,3,82
Mercer,Deer Creek,Ballots Cast,,NPA,,0,0,0
Mercer,Deer Creek,President,,DEM,Bernie Sanders,1,1,2
Mercer,Deer Creek,President,,DEM,Joseph R. Biden,13,13,26
Mercer,Deer Creek,President,,DEM,Tulsi Gabbard,4,0,4
Mercer,Deer Creek,President,,DEM,Elizabeth Warren,0,1,1
Mercer,Deer Creek,President,,DEM,Write-In,0,0,0
Mercer,Deer Creek,Attorney General,,DEM,Josh Shapiro,17,14,31
Mercer,Deer Creek,Attorney General,,DEM,Write-In,0,0,0
Mercer,Deer Creek,Auditor General,,DEM,H. Scott Conklin,1,0,1
Mercer,Deer Creek,Auditor General,,DEM,Michael Lamb,11,8,19
Mercer,Deer Creek,Auditor General,,DEM,Tracie Fountain,2,3,5
Mercer,Deer Creek,Auditor General,,DEM,Rose Rosie Marie Davis,1,2,3
Mercer,Deer Creek,Auditor General,,DEM,Nina Ahmad,1,1,2
Mercer,Deer Creek,Auditor General,,DEM,Christina M. Hartman,3,1,4
Mercer,Deer Creek,Auditor General,,DEM,Write-In,0,0,0
Mercer,Deer Creek,State Treasurer,,DEM,Joe Torsella,16,14,30
Mercer,Deer Creek,State Treasurer,,DEM,Write-In,0,0,0
Mercer,Deer Creek,U.S. House,16,DEM,Kristy Gnibus,17,14,31
Mercer,Deer Creek,U.S. House,16,DEM,Write-In,0,0,0
Mercer,Deer Creek,General Assembly,8,DEM,Phil Heasley,18,14,32
Mercer,Deer Creek,General Assembly,8,DEM,Write-In,0,0,0
Mercer,Deer Creek,President,,REP,Donald J. Trump,76,3,79
Mercer,Deer Creek,President,,REP,Roque Rocky De La Fuente,0,0,0
Mercer,Deer Creek,President,,REP,Bill Weld,1,0,1
Mercer,Deer Creek,President,,REP,Write-In,1,0,1
Mercer,Deer Creek,Attorney General,,REP,Heather Heidelbaugh,68,2,70
Mercer,Deer Creek,Attorney General,,REP,Write-In,0,0,0
Mercer,Deer Creek,Auditor General,,REP,Timothy Defoor,67,2,69
Mercer,Deer Creek,Auditor General,,REP,Write-In,0,0,0
Mercer,Deer Creek,State Treasurer,,REP,Stacy L. Garrity,67,2,69
Mercer,Deer Creek,State Treasurer,,REP,Write-In,0,0,0
Mercer,Deer Creek,U.S. House,16,REP,Mike Kelly,77,2,79
Mercer,Deer Creek,U.S. House,16,REP,Write-In,0,0,0
Mercer,Deer Creek,General Assembly,8,REP,Scott Jaillet,9,1,10
Mercer,Deer Creek,General Assembly,8,REP,Tim Bonner,65,2,67
Mercer,Deer Creek,General Assembly,8,REP,Write-In,0,0,0
Mercer,Delaware,Registered Voters,,,,,,1210
Mercer,Delaware,Registered Voters,,DEM,,,,504
Mercer,Delaware,Registered Voters,,REP,,,,706
Mercer,Delaware,Registered Voters,,NPA,,,,0
Mercer,Delaware,Ballots Cast,,,,238,203,441
Mercer,Delaware,Ballots Cast,,DEM,,75,111,186
Mercer,Delaware,Ballots Cast,,REP,,163,92,255
Mercer,Delaware,Ballots Cast,,NPA,,0,0,0
Mercer,Delaware,President,,DEM,Bernie Sanders,12,14,26
Mercer,Delaware,President,,DEM,Joseph R. Biden,50,90,140
Mercer,Delaware,President,,DEM,Tulsi Gabbard,3,1,4
Mercer,Delaware,President,,DEM,Elizabeth Warren,0,0,0
Mercer,Delaware,President,,DEM,Write-In,8,3,11
Mercer,Delaware,Attorney General,,DEM,Josh Shapiro,56,101,157
Mercer,Delaware,Attorney General,,DEM,Write-In,3,0,3
Mercer,Delaware,Auditor General,,DEM,H. Scott Conklin,9,17,26
Mercer,Delaware,Auditor General,,DEM,Michael Lamb,43,56,99
Mercer,Delaware,Auditor General,,DEM,Tracie Fountain,0,5,5
Mercer,Delaware,Auditor General,,DEM,Rose Rosie Marie Davis,1,5,6
Mercer,Delaware,Auditor General,,DEM,Nina Ahmad,2,3,5
Mercer,Delaware,Auditor General,,DEM,Christina M. Hartman,8,10,18
Mercer,Delaware,Auditor General,,DEM,Write-In,3,0,3
Mercer,Delaware,State Treasurer,,DEM,Joe Torsella,55,96,151
Mercer,Delaware,State Treasurer,,DEM,Write-In,4,1,5
Mercer,Delaware,U.S. House,16,DEM,Kristy Gnibus,63,96,159
Mercer,Delaware,U.S. House,16,DEM,Write-In,3,0,3
Mercer,Delaware,General Assembly,17,DEM,Write-In,10,6,16
Mercer,Delaware,General Assembly,17,DEM,Jeff O'Melian,0,3,3
Mercer,Delaware,President,,REP,Donald J. Trump,162,75,237
Mercer,Delaware,President,,REP,Roque Rocky De La Fuente,0,2,2
Mercer,Delaware,President,,REP,Bill Weld,0,6,6
Mercer,Delaware,President,,REP,Write-In,1,2,3
Mercer,Delaware,Attorney General,,REP,Heather Heidelbaugh,146,82,228
Mercer,Delaware,Attorney General,,REP,Write-In,0,0,0
Mercer,Delaware,Auditor General,,REP,Timothy Defoor,142,78,220
Mercer,Delaware,Auditor General,,REP,Write-In,1,0,1
Mercer,Delaware,State Treasurer,,REP,Stacy L. Garrity,146,81,227
Mercer,Delaware,State Treasurer,,REP,Write-In,0,0,0
Mercer,Delaware,U.S. House,16,REP,Mike Kelly,150,83,233
Mercer,Delaware,U.S. House,16,REP,Write-In,0,0,0
Mercer,Delaware,General Assembly,17,REP,Parke Wentling,156,88,244
Mercer,Delaware,General Assembly,17,REP,Write-In,0,0,0
Mercer,East Lackawannock,Registered Voters,,,,,,956
Mercer,East Lackawannock,Registered Voters,,DEM,,,,302
Mercer,East Lackawannock,Registered Voters,,REP,,,,654
Mercer,East Lackawannock,Registered Voters,,NPA,,,,0
Mercer,East Lackawannock,Ballots Cast,,,,213,121,334
Mercer,East Lackawannock,Ballots Cast,,DEM,,46,49,95
Mercer,East Lackawannock,Ballots Cast,,REP,,167,72,239
Mercer,East Lackawannock,Ballots Cast,,NPA,,0,0,0
Mercer,East Lackawannock,President,,DEM,Bernie Sanders,5,3,8
Mercer,East Lackawannock,President,,DEM,Joseph R. Biden,30,41,71
Mercer,East Lackawannock,President,,DEM,Tulsi Gabbard,4,1,5
Mercer,East Lackawannock,President,,DEM,Elizabeth Warren,1,0,1
Mercer,East Lackawannock,President,,DEM,Write-In,2,1,3
Mercer,East Lackawannock,Attorney General,,DEM,Josh Shapiro,39,42,81
Mercer,East Lackawannock,Attorney General,,DEM,Write-In,0,0,0
Mercer,East Lackawannock,Auditor General,,DEM,H. Scott Conklin,4,3,7
Mercer,East Lackawannock,Auditor General,,DEM,Michael Lamb,25,30,55
Mercer,East Lackawannock,Auditor General,,DEM,Tracie Fountain,1,2,3
Mercer,East Lackawannock,Auditor General,,DEM,Rose Rosie Marie Davis,4,0,4
Mercer,East Lackawannock,Auditor General,,DEM,Nina Ahmad,2,2,4
Mercer,East Lackawannock,Auditor General,,DEM,Christina M. Hartman,1,5,6
Mercer,East Lackawannock,Auditor General,,DEM,Write-In,0,0,0
Mercer,East Lackawannock,State Treasurer,,DEM,Joe Torsella,36,40,76
Mercer,East Lackawannock,State Treasurer,,DEM,Write-In,0,0,0
Mercer,East Lackawannock,U.S. House,16,DEM,Kristy Gnibus,34,39,73
Mercer,East Lackawannock,U.S. House,16,DEM,Write-In,0,3,3
Mercer,East Lackawannock,General Assembly,17,DEM,Write-In,1,5,6
Mercer,East Lackawannock,General Assembly,17,DEM,Jeff O'Melian,0,1,1
Mercer,East Lackawannock,President,,REP,Donald J. Trump,160,57,217
Mercer,East Lackawannock,President,,REP,Roque Rocky De La Fuente,2,0,2
Mercer,East Lackawannock,President,,REP,Bill Weld,2,8,10
Mercer,East Lackawannock,President,,REP,Write-In,2,2,4
Mercer,East Lackawannock,Attorney General,,REP,Heather Heidelbaugh,148,65,213
Mercer,East Lackawannock,Attorney General,,REP,Write-In,0,0,0
Mercer,East Lackawannock,Auditor General,,REP,Timothy Defoor,143,64,207
Mercer,East Lackawannock,Auditor General,,REP,Write-In,0,0,0
Mercer,East Lackawannock,State Treasurer,,REP,Stacy L. Garrity,147,66,213
Mercer,East Lackawannock,State Treasurer,,REP,Write-In,0,0,0
Mercer,East Lackawannock,U.S. House,16,REP,Mike Kelly,157,66,223
Mercer,East Lackawannock,U.S. House,16,REP,Write-In,0,2,2
Mercer,East Lackawannock,General Assembly,17,REP,Parke Wentling,158,70,228
Mercer,East Lackawannock,General Assembly,17,REP,Write-In,0,0,0
Mercer,Fairview,Registered Voters,,,,,,392
Mercer,Fairview,Registered Voters,,DEM,,,,107
Mercer,Fairview,Registered Voters,,REP,,,,285
Mercer,Fairview,Registered Voters,,NPA,,,,0
Mercer,Fairview,Ballots Cast,,,,129,28,157
Mercer,Fairview,Ballots Cast,,DEM,,19,20,39
Mercer,Fairview,Ballots Cast,,REP,,110,8,118
Mercer,Fairview,Ballots Cast,,NPA,,0,0,0
Mercer,Fairview,President,,DEM,Bernie Sanders,2,1,3
Mercer,Fairview,President,,DEM,Joseph R. Biden,10,18,28
Mercer,Fairview,President,,DEM,Tulsi Gabbard,0,0,0
Mercer,Fairview,President,,DEM,Elizabeth Warren,0,0,0
Mercer,Fairview,President,,DEM,Write-In,2,0,2
Mercer,Fairview,Attorney General,,DEM,Josh Shapiro,13,19,32
Mercer,Fairview,Attorney General,,DEM,Write-In,0,0,0
Mercer,Fairview,Auditor General,,DEM,H. Scott Conklin,4,1,5
Mercer,Fairview,Auditor General,,DEM,Michael Lamb,8,15,23
Mercer,Fairview,Auditor General,,DEM,Tracie Fountain,1,0,1
Mercer,Fairview,Auditor General,,DEM,Rose Rosie Marie Davis,2,1,3
Mercer,Fairview,Auditor General,,DEM,Nina Ahmad,1,1,2
Mercer,Fairview,Auditor General,,DEM,Christina M. Hartman,0,2,2
Mercer,Fairview,Auditor General,,DEM,Write-In,0,0,0
Mercer,Fairview,State Treasurer,,DEM,Joe Torsella,13,19,32
Mercer,Fairview,State Treasurer,,DEM,Write-In,0,0,0
Mercer,Fairview,U.S. House,16,DEM,Kristy Gnibus,15,19,34
Mercer,Fairview,U.S. House,16,DEM,Write-In,0,0,0
Mercer,Fairview,General Assembly,8,DEM,Phil Heasley,16,19,35
Mercer,Fairview,General Assembly,8,DEM,Write-In,0,0,0
Mercer,Fairview,President,,REP,Donald J. Trump,101,7,108
Mercer,Fairview,President,,REP,Roque Rocky De La Fuente,5,0,5
Mercer,Fairview,President,,REP,Bill Weld,1,0,1
Mercer,Fairview,President,,REP,Write-In,0,0,0
Mercer,Fairview,Attorney General,,REP,Heather Heidelbaugh,90,8,98
Mercer,Fairview,Attorney General,,REP,Write-In,0,0,0
Mercer,Fairview,Auditor General,,REP,Timothy Defoor,84,8,92
Mercer,Fairview,Auditor General,,REP,Write-In,0,0,0
Mercer,Fairview,State Treasurer,,REP,Stacy L. Garrity,89,8,97
Mercer,Fairview,State Treasurer,,REP,Write-In,0,0,0
Mercer,Fairview,U.S. House,16,REP,Mike Kelly,98,8,106
Mercer,Fairview,U.S. House,16,REP,Write-In,0,0,0
Mercer,Fairview,General Assembly,8,REP,Scott Jaillet,21,2,23
Mercer,Fairview,General Assembly,8,REP,Tim Bonner,87,6,93
Mercer,Fairview,General Assembly,8,REP,Write-In,0,0,0
Mercer,Farrell 1-1,Registered Voters,,,,,,405
Mercer,Farrell 1-1,Registered Voters,,DEM,,,,370
Mercer,Farrell 1-1,Registered Voters,,REP,,,,35
Mercer,Farrell 1-1,Registered Voters,,NPA,,,,0
Mercer,Farrell 1-1,Ballots Cast,,,,57,25,82
Mercer,Farrell 1-1,Ballots Cast,,DEM,,53,24,77
Mercer,Farrell 1-1,Ballots Cast,,REP,,4,1,5
Mercer,Farrell 1-1,Ballots Cast,,NPA,,0,0,0
Mercer,Farrell 1-1,President,,DEM,Bernie Sanders,11,2,13
Mercer,Farrell 1-1,President,,DEM,Joseph R. Biden,40,22,62
Mercer,Farrell 1-1,President,,DEM,Tulsi Gabbard,0,0,0
Mercer,Farrell 1-1,President,,DEM,Elizabeth Warren,1,0,1
Mercer,Farrell 1-1,President,,DEM,Write-In,0,0,0
Mercer,Farrell 1-1,Attorney General,,DEM,Josh Shapiro,40,15,55
Mercer,Farrell 1-1,Attorney General,,DEM,Write-In,0,0,0
Mercer,Farrell 1-1,Auditor General,,DEM,H. Scott Conklin,2,0,2
Mercer,Farrell 1-1,Auditor General,,DEM,Michael Lamb,18,7,25
Mercer,Farrell 1-1,Auditor General,,DEM,Tracie Fountain,6,2,8
Mercer,Farrell 1-1,Auditor General,,DEM,Rose Rosie Marie Davis,7,0,7
Mercer,Farrell 1-1,Auditor General,,DEM,Nina Ahmad,7,4,11
Mercer,Farrell 1-1,Auditor General,,DEM,Christina M. Hartman,5,1,6
Mercer,Farrell 1-1,Auditor General,,DEM,Write-In,0,0,0
Mercer,Farrell 1-1,State Treasurer,,DEM,Joe Torsella,41,16,57
Mercer,Farrell 1-1,State Treasurer,,DEM,Write-In,0,0,0
Mercer,Farrell 1-1,U.S. House,16,DEM,Kristy Gnibus,41,15,56
Mercer,Farrell 1-1,U.S. House,16,DEM,Write-In,0,0,0
Mercer,Farrell 1-1,General Assembly,7,DEM,Mark Longietti,52,24,76
Mercer,Farrell 1-1,General Assembly,7,DEM,Write-In,0,0,0
Mercer,Farrell 1-1,President,,REP,Donald J. Trump,3,1,4
Mercer,Farrell 1-1,President,,REP,Roque Rocky De La Fuente,0,0,0
Mercer,Farrell 1-1,President,,REP,Bill Weld,0,0,0
Mercer,Farrell 1-1,President,,REP,Write-In,1,0,1
Mercer,Farrell 1-1,Attorney General,,REP,Heather Heidelbaugh,3,1,4
Mercer,Farrell 1-1,Attorney General,,REP,Write-In,0,0,0
Mercer,Farrell 1-1,Auditor General,,REP,Timothy Defoor,4,1,5
Mercer,Farrell 1-1,Auditor General,,REP,Write-In,0,0,0
Mercer,Farrell 1-1,State Treasurer,,REP,Stacy L. Garrity,3,1,4
Mercer,Farrell 1-1,State Treasurer,,REP,Write-In,0,0,0
Mercer,Farrell 1-1,U.S. House,16,REP,Mike Kelly,3,1,4
Mercer,Farrell 1-1,U.S. House,16,REP,Write-In,0,0,0
Mercer,Farrell 1-1,General Assembly,7,REP,Write-In,0,0,0
Mercer,Farrell 1-1,General Assembly,7,REP,Mark Longietti,0,0,0
Mercer,Farrell 1-3,Registered Voters,,,,,,436
Mercer,Farrell 1-3,Registered Voters,,DEM,,,,372
Mercer,Farrell 1-3,Registered Voters,,REP,,,,64
Mercer,Farrell 1-3,Registered Voters,,NPA,,,,0
Mercer,Farrell 1-3,Ballots Cast,,,,74,25,99
Mercer,Farrell 1-3,Ballots Cast,,DEM,,64,22,86
Mercer,Farrell 1-3,Ballots Cast,,REP,,10,3,13
Mercer,Farrell 1-3,Ballots Cast,,NPA,,0,0,0
Mercer,Farrell 1-3,President,,DEM,Bernie Sanders,6,3,9
Mercer,Farrell 1-3,President,,DEM,Joseph R. Biden,57,17,74
Mercer,Farrell 1-3,President,,DEM,Tulsi Gabbard,0,0,0
Mercer,Farrell 1-3,President,,DEM,Elizabeth Warren,0,0,0
Mercer,Farrell 1-3,President,,DEM,Write-In,0,0,0
Mercer,Farrell 1-3,Attorney General,,DEM,Josh Shapiro,42,17,59
Mercer,Farrell 1-3,Attorney General,,DEM,Write-In,0,0,0
Mercer,Farrell 1-3,Auditor General,,DEM,H. Scott Conklin,1,1,2
Mercer,Farrell 1-3,Auditor General,,DEM,Michael Lamb,22,10,32
Mercer,Farrell 1-3,Auditor General,,DEM,Tracie Fountain,5,1,6
Mercer,Farrell 1-3,Auditor General,,DEM,Rose Rosie Marie Davis,4,0,4
Mercer,Farrell 1-3,Auditor General,,DEM,Nina Ahmad,8,1,9
Mercer,Farrell 1-3,Auditor General,,DEM,Christina M. Hartman,3,1,4
Mercer,Farrell 1-3,Auditor General,,DEM,Write-In,0,0,0
Mercer,Farrell 1-3,State Treasurer,,DEM,Joe Torsella,42,15,57
Mercer,Farrell 1-3,State Treasurer,,DEM,Write-In,0,0,0
Mercer,Farrell 1-3,U.S. House,16,DEM,Kristy Gnibus,39,13,52
Mercer,Farrell 1-3,U.S. House,16,DEM,Write-In,0,0,0
Mercer,Farrell 1-3,General Assembly,7,DEM,Mark Longietti,58,21,79
Mercer,Farrell 1-3,General Assembly,7,DEM,Write-In,1,0,1
Mercer,Farrell 1-3,President,,REP,Donald J. Trump,7,3,10
Mercer,Farrell 1-3,President,,REP,Roque Rocky De La Fuente,1,0,1
Mercer,Farrell 1-3,President,,REP,Bill Weld,0,0,0
Mercer,Farrell 1-3,President,,REP,Write-In,1,0,1
Mercer,Farrell 1-3,Attorney General,,REP,Heather Heidelbaugh,8,3,11
Mercer,Farrell 1-3,Attorney General,,REP,Write-In,0,0,0
Mercer,Farrell 1-3,Auditor General,,REP,Timothy Defoor,7,3,10
Mercer,Farrell 1-3,Auditor General,,REP,Write-In,0,0,0
Mercer,Farrell 1-3,State Treasurer,,REP,Stacy L. Garrity,8,3,11
Mercer,Farrell 1-3,State Treasurer,,REP,Write-In,0,0,0
Mercer,Farrell 1-3,U.S. House,16,REP,Mike Kelly,9,3,12
Mercer,Farrell 1-3,U.S. House,16,REP,Write-In,0,0,0
Mercer,Farrell 1-3,General Assembly,7,REP,Write-In,1,0,1
Mercer,Farrell 1-3,General Assembly,7,REP,Mark Longietti,1,0,1
Mercer,Farrell 2-1,Registered Voters,,,,,,645
Mercer,Farrell 2-1,Registered Voters,,DEM,,,,593
Mercer,Farrell 2-1,Registered Voters,,REP,,,,52
Mercer,Farrell 2-1,Registered Voters,,NPA,,,,0
Mercer,Farrell 2-1,Ballots Cast,,,,139,54,193
Mercer,Farrell 2-1,Ballots Cast,,DEM,,134,50,184
Mercer,Farrell 2-1,Ballots Cast,,REP,,5,4,9
Mercer,Farrell 2-1,Ballots Cast,,NPA,,0,0,0
Mercer,Farrell 2-1,President,,DEM,Bernie Sanders,18,2,20
Mercer,Farrell 2-1,President,,DEM,Joseph R. Biden,114,45,159
Mercer,Farrell 2-1,President,,DEM,Tulsi Gabbard,0,1,1
Mercer,Farrell 2-1,President,,DEM,Elizabeth Warren,0,0,0
Mercer,Farrell 2-1,President,,DEM,Write-In,0,2,2
Mercer,Farrell 2-1,Attorney General,,DEM,Josh Shapiro,84,36,120
Mercer,Farrell 2-1,Attorney General,,DEM,Write-In,1,0,1
Mercer,Farrell 2-1,Auditor General,,DEM,H. Scott Conklin,4,2,6
Mercer,Farrell 2-1,Auditor General,,DEM,Michael Lamb,37,22,59
Mercer,Farrell 2-1,Auditor General,,DEM,Tracie Fountain,8,5,13
Mercer,Farrell 2-1,Auditor General,,DEM,Rose Rosie Marie Davis,9,0,9
Mercer,Farrell 2-1,Auditor General,,DEM,Nina Ahmad,23,9,32
Mercer,Farrell 2-1,Auditor General,,DEM,Christina M. Hartman,7,1,8
Mercer,Farrell 2-1,Auditor General,,DEM,Write-In,1,0,1
Mercer,Farrell 2-1,State Treasurer,,DEM,Joe Torsella,82,35,117
Mercer,Farrell 2-1,State Treasurer,,DEM,Write-In,1,0,1
Mercer,Farrell 2-1,U.S. House,16,DEM,Kristy Gnibus,80,35,115
Mercer,Farrell 2-1,U.S. House,16,DEM,Write-In,1,1,2
Mercer,Farrell 2-1,General Assembly,7,DEM,Mark Longietti,124,49,173
Mercer,Farrell 2-1,General Assembly,7,DEM,Write-In,1,0,1
Mercer,Farrell 2-1,President,,REP,Donald J. Trump,4,4,8
Mercer,Farrell 2-1,President,,REP,Roque Rocky De La Fuente,0,0,0
Mercer,Farrell 2-1,President,,REP,Bill Weld,0,0,0
Mercer,Farrell 2-1,President,,REP,Write-In,1,0,1
Mercer,Farrell 2-1,Attorney General,,REP,Heather Heidelbaugh,5,4,9
Mercer,Farrell 2-1,Attorney General,,REP,Write-In,0,0,0
Mercer,Farrell 2-1,Auditor General,,REP,Timothy Defoor,4,3,7
Mercer,Farrell 2-1,Auditor General,,REP,Write-In,0,0,0
Mercer,Farrell 2-1,State Treasurer,,REP,Stacy L. Garrity,5,4,9
Mercer,Farrell 2-1,State Treasurer,,REP,Write-In,0,0,0
Mercer,Farrell 2-1,U.S. House,16,REP,Mike Kelly,5,4,9
Mercer,Farrell 2-1,U.S. House,16,REP,Write-In,0,0,0
Mercer,Farrell 2-1,General Assembly,7,REP,Write-In,1,0,1
Mercer,Farrell 2-1,General Assembly,7,REP,Mark Longietti,0,0,0
Mercer,Farrell 2-3,Registered Voters,,,,,,580
Mercer,Farrell 2-3,Registered Voters,,DEM,,,,492
Mercer,Farrell 2-3,Registered Voters,,REP,,,,88
Mercer,Farrell 2-3,Registered Voters,,NPA,,,,0
Mercer,Farrell 2-3,Ballots Cast,,,,116,81,197
Mercer,Farrell 2-3,Ballots Cast,,DEM,,96,72,168
Mercer,Farrell 2-3,Ballots Cast,,REP,,20,9,29
Mercer,Farrell 2-3,Ballots Cast,,NPA,,0,0,0
Mercer,Farrell 2-3,President,,DEM,Bernie Sanders,13,6,19
Mercer,Farrell 2-3,President,,DEM,Joseph R. Biden,81,60,141
Mercer,Farrell 2-3,President,,DEM,Tulsi Gabbard,0,4,4
Mercer,Farrell 2-3,President,,DEM,Elizabeth Warren,2,0,2
Mercer,Farrell 2-3,President,,DEM,Write-In,0,1,1
Mercer,Farrell 2-3,Attorney General,,DEM,Josh Shapiro,75,60,135
Mercer,Farrell 2-3,Attorney General,,DEM,Write-In,0,0,0
Mercer,Farrell 2-3,Auditor General,,DEM,H. Scott Conklin,0,5,5
Mercer,Farrell 2-3,Auditor General,,DEM,Michael Lamb,35,39,74
Mercer,Farrell 2-3,Auditor General,,DEM,Tracie Fountain,5,3,8
Mercer,Farrell 2-3,Auditor General,,DEM,Rose Rosie Marie Davis,5,3,8
Mercer,Farrell 2-3,Auditor General,,DEM,Nina Ahmad,23,4,27
Mercer,Farrell 2-3,Auditor General,,DEM,Christina M. Hartman,7,5,12
