county,precint,office,district,party,candidate,votes
Beaver,ALIQUIPPA 2,PRESIDENT OF THE UNITED STATES, ,REP,ROQUE ROCKY DE LA FUENTE,0
Beaver,ALIQUIPPA 2,PRESIDENT OF THE UNITED STATES, ,REP,BILL WELD,0
Beaver,ALIQUIPPA 2,PRESIDENT OF THE UNITED STATES, ,REP,Write-In Totals,0
Beaver,ALIQUIPPA 2,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,4
Beaver,ALIQUIPPA 2,ATTORNEY GENERAL, ,REP,Write-In Totals,0
Beaver,ALIQUIPPA 2,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,4
Beaver,ALIQUIPPA 2,AUDITOR GENERAL, ,REP,Write-In Totals,0
Beaver,ALIQUIPPA 2,STATE TREASURER, ,REP,STACY L. GARRITY,4
Beaver,ALIQUIPPA 2,STATE TREASURER, ,REP,Write-In Totals,0
Beaver,ALIQUIPPA 2,REPRESENTATIVE IN CONGRESS, ,REP,SEAN PARNELL,4
Beaver,ALIQUIPPA 2,REPRESENTATIVE IN CONGRESS, ,REP,Write-In Totals,0
Beaver,ALIQUIPPA 2,REP IN THE GENERAL ASSEMBLY 16TH DISTRICT, ,REP,RICO ELMORE,4
Beaver,ALIQUIPPA 2,REP IN THE GENERAL ASSEMBLY 16TH DISTRICT, ,REP,Write-In Totals,0
Beaver,ALIQUIPPA 3,Ballots Cast - Total, , ,Ballots Cast - Total,134
Beaver,ALIQUIPPA 3,Ballots Cast - DEMOCRATIC, ,DEM,Ballots Cast - DEMOCRATIC,134
Beaver,ALIQUIPPA 3,Ballots Cast - REPUBLICAN, ,REP,Ballots Cast - REPUBLICAN,0
Beaver,ALIQUIPPA 3,Ballots Cast - NONPARTISAN, ,NPA,Ballots Cast - NONPARTISAN,0
Beaver,ALIQUIPPA 3,Ballots Cast - Blank, , ,Ballots Cast - Blank,0
Beaver,ALIQUIPPA 3,PRESIDENT OF THE UNITED STATES, ,DEM,BERNIE SANDERS,15
Beaver,ALIQUIPPA 3,PRESIDENT OF THE UNITED STATES, ,DEM,JOSEPH R. BIDEN,116
Beaver,ALIQUIPPA 3,PRESIDENT OF THE UNITED STATES, ,DEM,TULSI GABBARD,0
Beaver,ALIQUIPPA 3,PRESIDENT OF THE UNITED STATES, ,DEM,Write-In Totals,1
Beaver,ALIQUIPPA 3,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,113
Beaver,ALIQUIPPA 3,ATTORNEY GENERAL, ,DEM,Write-In Totals,0
Beaver,ALIQUIPPA 3,AUDITOR GENERAL, ,DEM,H. SCOTT CONKLIN,2
Beaver,ALIQUIPPA 3,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,92
Beaver,ALIQUIPPA 3,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,6
Beaver,ALIQUIPPA 3,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,4
Beaver,ALIQUIPPA 3,AUDITOR GENERAL, ,DEM,NINA AHMAD,18
Beaver,ALIQUIPPA 3,AUDITOR GENERAL, ,DEM,CHRISTINA M. HARTMAN,1
Beaver,ALIQUIPPA 3,AUDITOR GENERAL, ,DEM,Write-In Totals,0
Beaver,ALIQUIPPA 3,STATE TREASURER, ,DEM,JOE TORSELLA,102
Beaver,ALIQUIPPA 3,STATE TREASURER, ,DEM,Write-In Totals,0
Beaver,ALIQUIPPA 3,REPRESENTATIVE IN CONGRESS, ,DEM,CONOR LAMB,123
Beaver,ALIQUIPPA 3,REPRESENTATIVE IN CONGRESS, ,DEM,Write-In Totals,0
Beaver,ALIQUIPPA 3,REP IN THE GENERAL ASSEMBLY 16TH DISTRICT, ,DEM,ROBERT F. MATZIE,125
Beaver,ALIQUIPPA 3,REP IN THE GENERAL ASSEMBLY 16TH DISTRICT, ,DEM,Write-In Totals,0
Beaver,ALIQUIPPA 3,PRESIDENT OF THE UNITED STATES, ,REP,DONALD J. TRUMP,0
Beaver,ALIQUIPPA 3,PRESIDENT OF THE UNITED STATES, ,REP,ROQUE ROCKY DE LA FUENTE,0
Beaver,ALIQUIPPA 3,PRESIDENT OF THE UNITED STATES, ,REP,BILL WELD,0
Beaver,ALIQUIPPA 3,PRESIDENT OF THE UNITED STATES, ,REP,Write-In Totals,0
Beaver,ALIQUIPPA 3,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,0
Beaver,ALIQUIPPA 3,ATTORNEY GENERAL, ,REP,Write-In Totals,0
Beaver,ALIQUIPPA 3,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,0
Beaver,ALIQUIPPA 3,AUDITOR GENERAL, ,REP,Write-In Totals,0
Beaver,ALIQUIPPA 3,STATE TREASURER, ,REP,STACY L. GARRITY,0
Beaver,ALIQUIPPA 3,STATE TREASURER, ,REP,Write-In Totals,0
Beaver,ALIQUIPPA 3,REPRESENTATIVE IN CONGRESS, ,REP,SEAN PARNELL,0
Beaver,ALIQUIPPA 3,REPRESENTATIVE IN CONGRESS, ,REP,Write-In Totals,0
Beaver,ALIQUIPPA 3,REP IN THE GENERAL ASSEMBLY 16TH DISTRICT, ,REP,RICO ELMORE,0
Beaver,ALIQUIPPA 3,REP IN THE GENERAL ASSEMBLY 16TH DISTRICT, ,REP,Write-In Totals,0
Beaver,ALIQUIPPA 4,Ballots Cast - Total, , ,Ballots Cast - Total,93
Beaver,ALIQUIPPA 4,Ballots Cast - DEMOCRATIC, ,DEM,Ballots Cast - DEMOCRATIC,85
Beaver,ALIQUIPPA 4,Ballots Cast - REPUBLICAN, ,REP,Ballots Cast - REPUBLICAN,8
Beaver,ALIQUIPPA 4,Ballots Cast - NONPARTISAN, ,NPA,Ballots Cast - NONPARTISAN,0
Beaver,ALIQUIPPA 4,Ballots Cast - Blank, , ,Ballots Cast - Blank,0
Beaver,ALIQUIPPA 4,PRESIDENT OF THE UNITED STATES, ,DEM,BERNIE SANDERS,20
Beaver,ALIQUIPPA 4,PRESIDENT OF THE UNITED STATES, ,DEM,JOSEPH R. BIDEN,62
Beaver,ALIQUIPPA 4,PRESIDENT OF THE UNITED STATES, ,DEM,TULSI GABBARD,0
Beaver,ALIQUIPPA 4,PRESIDENT OF THE UNITED STATES, ,DEM,Write-In Totals,1
Beaver,ALIQUIPPA 4,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,76
Beaver,ALIQUIPPA 4,ATTORNEY GENERAL, ,DEM,Write-In Totals,2
Beaver,ALIQUIPPA 4,AUDITOR GENERAL, ,DEM,H. SCOTT CONKLIN,1
Beaver,ALIQUIPPA 4,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,53
Beaver,ALIQUIPPA 4,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,7
Beaver,ALIQUIPPA 4,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,3
Beaver,ALIQUIPPA 4,AUDITOR GENERAL, ,DEM,NINA AHMAD,15
Beaver,ALIQUIPPA 4,AUDITOR GENERAL, ,DEM,CHRISTINA M. HARTMAN,1
Beaver,ALIQUIPPA 4,AUDITOR GENERAL, ,DEM,Write-In Totals,0
Beaver,ALIQUIPPA 4,STATE TREASURER, ,DEM,JOE TORSELLA,71
Beaver,ALIQUIPPA 4,STATE TREASURER, ,DEM,Write-In Totals,1
Beaver,ALIQUIPPA 4,REPRESENTATIVE IN CONGRESS, ,DEM,CONOR LAMB,80
Beaver,ALIQUIPPA 4,REPRESENTATIVE IN CONGRESS, ,DEM,Write-In Totals,1
Beaver,ALIQUIPPA 4,REP IN THE GENERAL ASSEMBLY 16TH DISTRICT, ,DEM,ROBERT F. MATZIE,80
Beaver,ALIQUIPPA 4,REP IN THE GENERAL ASSEMBLY 16TH DISTRICT, ,DEM,Write-In Totals,0
Beaver,ALIQUIPPA 4,PRESIDENT OF THE UNITED STATES, ,REP,DONALD J. TRUMP,8
Beaver,ALIQUIPPA 4,PRESIDENT OF THE UNITED STATES, ,REP,ROQUE ROCKY DE LA FUENTE,0
Beaver,ALIQUIPPA 4,PRESIDENT OF THE UNITED STATES, ,REP,BILL WELD,0
Beaver,ALIQUIPPA 4,PRESIDENT OF THE UNITED STATES, ,REP,Write-In Totals,0
Beaver,ALIQUIPPA 4,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,6
Beaver,ALIQUIPPA 4,ATTORNEY GENERAL, ,REP,Write-In Totals,1
Beaver,ALIQUIPPA 4,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,6
Beaver,ALIQUIPPA 4,AUDITOR GENERAL, ,REP,Write-In Totals,1
Beaver,ALIQUIPPA 4,STATE TREASURER, ,REP,STACY L. GARRITY,6
Beaver,ALIQUIPPA 4,STATE TREASURER, ,REP,Write-In Totals,1
Beaver,ALIQUIPPA 4,REPRESENTATIVE IN CONGRESS, ,REP,SEAN PARNELL,6
Beaver,ALIQUIPPA 4,REPRESENTATIVE IN CONGRESS, ,REP,Write-In Totals,0
Beaver,ALIQUIPPA 4,REP IN THE GENERAL ASSEMBLY 16TH DISTRICT, ,REP,RICO ELMORE,6
Beaver,ALIQUIPPA 4,REP IN THE GENERAL ASSEMBLY 16TH DISTRICT, ,REP,Write-In Totals,0
Beaver,ALIQUIPPA 5,Ballots Cast - Total, , ,Ballots Cast - Total,159
Beaver,ALIQUIPPA 5,Ballots Cast - DEMOCRATIC, ,DEM,Ballots Cast - DEMOCRATIC,141
Beaver,ALIQUIPPA 5,Ballots Cast - REPUBLICAN, ,REP,Ballots Cast - REPUBLICAN,18
Beaver,ALIQUIPPA 5,Ballots Cast - NONPARTISAN, ,NPA,Ballots Cast - NONPARTISAN,0
Beaver,ALIQUIPPA 5,Ballots Cast - Blank, , ,Ballots Cast - Blank,0
Beaver,ALIQUIPPA 5,PRESIDENT OF THE UNITED STATES, ,DEM,BERNIE SANDERS,24
Beaver,ALIQUIPPA 5,PRESIDENT OF THE UNITED STATES, ,DEM,JOSEPH R. BIDEN,104
Beaver,ALIQUIPPA 5,PRESIDENT OF THE UNITED STATES, ,DEM,TULSI GABBARD,3
Beaver,ALIQUIPPA 5,PRESIDENT OF THE UNITED STATES, ,DEM,Write-In Totals,6
Beaver,ALIQUIPPA 5,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,126
Beaver,ALIQUIPPA 5,ATTORNEY GENERAL, ,DEM,Write-In Totals,1
Beaver,ALIQUIPPA 5,AUDITOR GENERAL, ,DEM,H. SCOTT CONKLIN,5
Beaver,ALIQUIPPA 5,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,99
Beaver,ALIQUIPPA 5,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,0
Beaver,ALIQUIPPA 5,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,4
Beaver,ALIQUIPPA 5,AUDITOR GENERAL, ,DEM,NINA AHMAD,24
Beaver,ALIQUIPPA 5,AUDITOR GENERAL, ,DEM,CHRISTINA M. HARTMAN,5
Beaver,ALIQUIPPA 5,AUDITOR GENERAL, ,DEM,Write-In Totals,0
Beaver,ALIQUIPPA 5,STATE TREASURER, ,DEM,JOE TORSELLA,121
Beaver,ALIQUIPPA 5,STATE TREASURER, ,DEM,Write-In Totals,1
Beaver,ALIQUIPPA 5,REPRESENTATIVE IN CONGRESS, ,DEM,CONOR LAMB,133
Beaver,ALIQUIPPA 5,REPRESENTATIVE IN CONGRESS, ,DEM,Write-In Totals,0
Beaver,ALIQUIPPA 5,REP IN THE GENERAL ASSEMBLY 16TH DISTRICT, ,DEM,ROBERT F. MATZIE,136
Beaver,ALIQUIPPA 5,REP IN THE GENERAL ASSEMBLY 16TH DISTRICT, ,DEM,Write-In Totals,0
Beaver,ALIQUIPPA 5,PRESIDENT OF THE UNITED STATES, ,REP,DONALD J. TRUMP,17
Beaver,ALIQUIPPA 5,PRESIDENT OF THE UNITED STATES, ,REP,ROQUE ROCKY DE LA FUENTE,1
Beaver,ALIQUIPPA 5,PRESIDENT OF THE UNITED STATES, ,REP,BILL WELD,0
Beaver,ALIQUIPPA 5,PRESIDENT OF THE UNITED STATES, ,REP,Write-In Totals,0
Beaver,ALIQUIPPA 5,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,15
Beaver,ALIQUIPPA 5,ATTORNEY GENERAL, ,REP,Write-In Totals,0
Beaver,ALIQUIPPA 5,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,15
Beaver,ALIQUIPPA 5,AUDITOR GENERAL, ,REP,Write-In Totals,0
Beaver,ALIQUIPPA 5,STATE TREASURER, ,REP,STACY L. GARRITY,15
Beaver,ALIQUIPPA 5,STATE TREASURER, ,REP,Write-In Totals,0
Beaver,ALIQUIPPA 5,REPRESENTATIVE IN CONGRESS, ,REP,SEAN PARNELL,14
Beaver,ALIQUIPPA 5,REPRESENTATIVE IN CONGRESS, ,REP,Write-In Totals,0
Beaver,ALIQUIPPA 5,REP IN THE GENERAL ASSEMBLY 16TH DISTRICT, ,REP,RICO ELMORE,17
Beaver,ALIQUIPPA 5,REP IN THE GENERAL ASSEMBLY 16TH DISTRICT, ,REP,Write-In Totals,0
Beaver,ALIQUIPPA 6,Ballots Cast - Total, , ,Ballots Cast - Total,403
Beaver,ALIQUIPPA 6,Ballots Cast - DEMOCRATIC, ,DEM,Ballots Cast - DEMOCRATIC,332
Beaver,ALIQUIPPA 6,Ballots Cast - REPUBLICAN, ,REP,Ballots Cast - REPUBLICAN,71
Beaver,ALIQUIPPA 6,Ballots Cast - NONPARTISAN, ,NPA,Ballots Cast - NONPARTISAN,0
Beaver,ALIQUIPPA 6,Ballots Cast - Blank, , ,Ballots Cast - Blank,0
Beaver,ALIQUIPPA 6,PRESIDENT OF THE UNITED STATES, ,DEM,BERNIE SANDERS,52
Beaver,ALIQUIPPA 6,PRESIDENT OF THE UNITED STATES, ,DEM,JOSEPH R. BIDEN,261
Beaver,ALIQUIPPA 6,PRESIDENT OF THE UNITED STATES, ,DEM,TULSI GABBARD,8
Beaver,ALIQUIPPA 6,PRESIDENT OF THE UNITED STATES, ,DEM,Write-In Totals,7
Beaver,ALIQUIPPA 6,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,289
Beaver,ALIQUIPPA 6,ATTORNEY GENERAL, ,DEM,Write-In Totals,1
Beaver,ALIQUIPPA 6,AUDITOR GENERAL, ,DEM,H. SCOTT CONKLIN,4
Beaver,ALIQUIPPA 6,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,217
Beaver,ALIQUIPPA 6,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,18
Beaver,ALIQUIPPA 6,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,9
Beaver,ALIQUIPPA 6,AUDITOR GENERAL, ,DEM,NINA AHMAD,43
Beaver,ALIQUIPPA 6,AUDITOR GENERAL, ,DEM,CHRISTINA M. HARTMAN,11
Beaver,ALIQUIPPA 6,AUDITOR GENERAL, ,DEM,Write-In Totals,0
Beaver,ALIQUIPPA 6,STATE TREASURER, ,DEM,JOE TORSELLA,276
Beaver,ALIQUIPPA 6,STATE TREASURER, ,DEM,Write-In Totals,0
Beaver,ALIQUIPPA 6,REPRESENTATIVE IN CONGRESS, ,DEM,CONOR LAMB,304
Beaver,ALIQUIPPA 6,REPRESENTATIVE IN CONGRESS, ,DEM,Write-In Totals,2
Beaver,ALIQUIPPA 6,REP IN THE GENERAL ASSEMBLY 16TH DISTRICT, ,DEM,ROBERT F. MATZIE,304
Beaver,ALIQUIPPA 6,REP IN THE GENERAL ASSEMBLY 16TH DISTRICT, ,DEM,Write-In Totals,4
Beaver,ALIQUIPPA 6,PRESIDENT OF THE UNITED STATES, ,REP,DONALD J. TRUMP,61
Beaver,ALIQUIPPA 6,PRESIDENT OF THE UNITED STATES, ,REP,ROQUE ROCKY DE LA FUENTE,5
Beaver,ALIQUIPPA 6,PRESIDENT OF THE UNITED STATES, ,REP,BILL WELD,3
Beaver,ALIQUIPPA 6,PRESIDENT OF THE UNITED STATES, ,REP,Write-In Totals,0
Beaver,ALIQUIPPA 6,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,64
Beaver,ALIQUIPPA 6,ATTORNEY GENERAL, ,REP,Write-In Totals,1
Beaver,ALIQUIPPA 6,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,62
Beaver,ALIQUIPPA 6,AUDITOR GENERAL, ,REP,Write-In Totals,1
Beaver,ALIQUIPPA 6,STATE TREASURER, ,REP,STACY L. GARRITY,61
Beaver,ALIQUIPPA 6,STATE TREASURER, ,REP,Write-In Totals,1
Beaver,ALIQUIPPA 6,REPRESENTATIVE IN CONGRESS, ,REP,SEAN PARNELL,65
Beaver,ALIQUIPPA 6,REPRESENTATIVE IN CONGRESS, ,REP,Write-In Totals,0
Beaver,ALIQUIPPA 6,REP IN THE GENERAL ASSEMBLY 16TH DISTRICT, ,REP,RICO ELMORE,64
Beaver,ALIQUIPPA 6,REP IN THE GENERAL ASSEMBLY 16TH DISTRICT, ,REP,Write-In Totals,3
Beaver,ALIQUIPPA 7,Ballots Cast - Total, , ,Ballots Cast - Total,408
Beaver,ALIQUIPPA 7,Ballots Cast - DEMOCRATIC, ,DEM,Ballots Cast - DEMOCRATIC,319
Beaver,ALIQUIPPA 7,Ballots Cast - REPUBLICAN, ,REP,Ballots Cast - REPUBLICAN,89
Beaver,ALIQUIPPA 7,Ballots Cast - NONPARTISAN, ,NPA,Ballots Cast - NONPARTISAN,0
Beaver,ALIQUIPPA 7,Ballots Cast - Blank, , ,Ballots Cast - Blank,0
Beaver,ALIQUIPPA 7,PRESIDENT OF THE UNITED STATES, ,DEM,BERNIE SANDERS,41
Beaver,ALIQUIPPA 7,PRESIDENT OF THE UNITED STATES, ,DEM,JOSEPH R. BIDEN,242
Beaver,ALIQUIPPA 7,PRESIDENT OF THE UNITED STATES, ,DEM,TULSI GABBARD,22
Beaver,ALIQUIPPA 7,PRESIDENT OF THE UNITED STATES, ,DEM,Write-In Totals,11
Beaver,ALIQUIPPA 7,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,287
Beaver,ALIQUIPPA 7,ATTORNEY GENERAL, ,DEM,Write-In Totals,1
Beaver,ALIQUIPPA 7,AUDITOR GENERAL, ,DEM,H. SCOTT CONKLIN,6
Beaver,ALIQUIPPA 7,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,232
Beaver,ALIQUIPPA 7,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,12
Beaver,ALIQUIPPA 7,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,9
Beaver,ALIQUIPPA 7,AUDITOR GENERAL, ,DEM,NINA AHMAD,31
Beaver,ALIQUIPPA 7,AUDITOR GENERAL, ,DEM,CHRISTINA M. HARTMAN,13
Beaver,ALIQUIPPA 7,AUDITOR GENERAL, ,DEM,Write-In Totals,1
Beaver,ALIQUIPPA 7,STATE TREASURER, ,DEM,JOE TORSELLA,280
Beaver,ALIQUIPPA 7,STATE TREASURER, ,DEM,Write-In Totals,3
Beaver,ALIQUIPPA 7,REPRESENTATIVE IN CONGRESS, ,DEM,CONOR LAMB,286
Beaver,ALIQUIPPA 7,REPRESENTATIVE IN CONGRESS, ,DEM,Write-In Totals,3
Beaver,ALIQUIPPA 7,REP IN THE GENERAL ASSEMBLY 16TH DISTRICT, ,DEM,ROBERT F. MATZIE,294
Beaver,ALIQUIPPA 7,REP IN THE GENERAL ASSEMBLY 16TH DISTRICT, ,DEM,Write-In Totals,3
Beaver,ALIQUIPPA 7,PRESIDENT OF THE UNITED STATES, ,REP,DONALD J. TRUMP,79
Beaver,ALIQUIPPA 7,PRESIDENT OF THE UNITED STATES, ,REP,ROQUE ROCKY DE LA FUENTE,3
Beaver,ALIQUIPPA 7,PRESIDENT OF THE UNITED STATES, ,REP,BILL WELD,4
Beaver,ALIQUIPPA 7,PRESIDENT OF THE UNITED STATES, ,REP,Write-In Totals,3
Beaver,ALIQUIPPA 7,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,80
Beaver,ALIQUIPPA 7,ATTORNEY GENERAL, ,REP,Write-In Totals,0
Beaver,ALIQUIPPA 7,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,77
Beaver,ALIQUIPPA 7,AUDITOR GENERAL, ,REP,Write-In Totals,0
Beaver,ALIQUIPPA 7,STATE TREASURER, ,REP,STACY L. GARRITY,76
Beaver,ALIQUIPPA 7,STATE TREASURER, ,REP,Write-In Totals,1
Beaver,ALIQUIPPA 7,REPRESENTATIVE IN CONGRESS, ,REP,SEAN PARNELL,79
Beaver,ALIQUIPPA 7,REPRESENTATIVE IN CONGRESS, ,REP,Write-In Totals,0
Beaver,ALIQUIPPA 7,REP IN THE GENERAL ASSEMBLY 16TH DISTRICT, ,REP,RICO ELMORE,80
Beaver,ALIQUIPPA 7,REP IN THE GENERAL ASSEMBLY 16TH DISTRICT, ,REP,Write-In Totals,0
Beaver,ALIQUIPPA 8,Ballots Cast - Total, , ,Ballots Cast - Total,261
