county,precinct,office,district,party,candidate,votes,absentee_mail,election_day
Chester,014 BIRMINGHAM 1,President, ,REP,BILL WELD,19,14,5
Chester,014 BIRMINGHAM 1,President, ,REP,Write-In Totals,7,5,2
Chester,014 BIRMINGHAM 1,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,190,72,118
Chester,014 BIRMINGHAM 1,ATTORNEY GENERAL, ,REP,Write-In Totals,3,1,2
Chester,014 BIRMINGHAM 1,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,189,70,119
Chester,014 BIRMINGHAM 1,AUDITOR GENERAL, ,REP,Write-In Totals,1,1,0
Chester,014 BIRMINGHAM 1,STATE TREASURER, ,REP,STACY L GARRITY,188,70,118
Chester,014 BIRMINGHAM 1,STATE TREASURER, ,REP,Write-In Totals,1,1,0
Chester,014 BIRMINGHAM 1,U.S. House,6,REP,JOHN EMMONS,193,72,121
Chester,014 BIRMINGHAM 1,U.S. House,6,REP,Write-In Totals,3,1,2
Chester,014 BIRMINGHAM 1,State House,156,REP,LEN IACONO,190,70,120
Chester,014 BIRMINGHAM 1,State House,156,REP,Write-In Totals,1,1,0
Chester,015 BIRMINGHAM 2,Registered Voters, ,,Registered Voters - Total,"2,133",,
Chester,015 BIRMINGHAM 2,Registered Voters, ,DEM,Registered Voters - DEMOCRATIC,719,,
Chester,015 BIRMINGHAM 2,Registered Voters, ,REP,Registered Voters - REPUBLICAN,"1,022",,
Chester,015 BIRMINGHAM 2,Registered Voters, ,NPA,Registered Voters - NON-PARTISAN,392,,
Chester,015 BIRMINGHAM 2,Ballots Cast, , , ,757,530,227
Chester,015 BIRMINGHAM 2,Ballots Cast, ,DEM, ,400,346,54
Chester,015 BIRMINGHAM 2,Ballots Cast, ,REP, ,357,184,173
Chester,015 BIRMINGHAM 2,Ballots Cast, ,NPA, ,0,0,0
Chester,015 BIRMINGHAM 2,President, ,DEM,BERNIE SANDERS,31,26,5
Chester,015 BIRMINGHAM 2,President, ,DEM,JOSEPH R BIDEN,359,313,46
Chester,015 BIRMINGHAM 2,President, ,DEM,TULSI GABBARD,5,2,3
Chester,015 BIRMINGHAM 2,President, ,DEM,Write-In Totals,3,3,0
Chester,015 BIRMINGHAM 2,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,362,312,50
Chester,015 BIRMINGHAM 2,ATTORNEY GENERAL, ,DEM,Write-In Totals,1,0,1
Chester,015 BIRMINGHAM 2,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,14,10,4
Chester,015 BIRMINGHAM 2,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,22,18,4
Chester,015 BIRMINGHAM 2,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,30,27,3
Chester,015 BIRMINGHAM 2,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,10,8,2
Chester,015 BIRMINGHAM 2,AUDITOR GENERAL, ,DEM,NINA AHMAD,148,118,30
Chester,015 BIRMINGHAM 2,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,127,121,6
Chester,015 BIRMINGHAM 2,AUDITOR GENERAL, ,DEM,Write-In Totals,1,0,1
Chester,015 BIRMINGHAM 2,STATE TREASURER, ,DEM,JOE TORSELLA,356,305,51
Chester,015 BIRMINGHAM 2,STATE TREASURER, ,DEM,Write-In Totals,1,0,1
Chester,015 BIRMINGHAM 2,U.S. House,6,DEM,CHRISSY HOULAHAN,384,331,53
Chester,015 BIRMINGHAM 2,U.S. House,6,DEM,Write-In Totals,0,0,0
Chester,015 BIRMINGHAM 2,State House,156,DEM,CAROLYN COMITTA,374,323,51
Chester,015 BIRMINGHAM 2,State House,156,DEM,Write-In Totals,1,0,1
Chester,015 BIRMINGHAM 2,President, ,REP,DONALD J TRUMP,277,119,158
Chester,015 BIRMINGHAM 2,President, ,REP,ROQUE ROCKY DE LA FUENTE,8,7,1
Chester,015 BIRMINGHAM 2,President, ,REP,BILL WELD,36,29,7
Chester,015 BIRMINGHAM 2,President, ,REP,Write-In Totals,20,17,3
Chester,015 BIRMINGHAM 2,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,329,163,166
Chester,015 BIRMINGHAM 2,ATTORNEY GENERAL, ,REP,Write-In Totals,1,0,1
Chester,015 BIRMINGHAM 2,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,328,164,164
Chester,015 BIRMINGHAM 2,AUDITOR GENERAL, ,REP,Write-In Totals,0,0,0
Chester,015 BIRMINGHAM 2,STATE TREASURER, ,REP,STACY L GARRITY,327,163,164
Chester,015 BIRMINGHAM 2,STATE TREASURER, ,REP,Write-In Totals,2,1,1
Chester,015 BIRMINGHAM 2,U.S. House,6,REP,JOHN EMMONS,329,165,164
Chester,015 BIRMINGHAM 2,U.S. House,6,REP,Write-In Totals,2,2,0
Chester,015 BIRMINGHAM 2,State House,156,REP,LEN IACONO,324,161,163
Chester,015 BIRMINGHAM 2,State House,156,REP,Write-In Totals,4,4,0
Chester,020 E BRADFORD N-1,Registered Voters, ,,Registered Voters - Total,"1,007",,
Chester,020 E BRADFORD N-1,Registered Voters, ,DEM,Registered Voters - DEMOCRATIC,427,,
Chester,020 E BRADFORD N-1,Registered Voters, ,REP,Registered Voters - REPUBLICAN,421,,
Chester,020 E BRADFORD N-1,Registered Voters, ,NPA,Registered Voters - NON-PARTISAN,159,,
Chester,020 E BRADFORD N-1,Ballots Cast, , , ,395,249,146
Chester,020 E BRADFORD N-1,Ballots Cast, ,DEM, ,246,188,58
Chester,020 E BRADFORD N-1,Ballots Cast, ,REP, ,149,61,88
Chester,020 E BRADFORD N-1,Ballots Cast, ,NPA, ,0,0,0
Chester,020 E BRADFORD N-1,President, ,DEM,BERNIE SANDERS,36,22,14
Chester,020 E BRADFORD N-1,President, ,DEM,JOSEPH R BIDEN,204,162,42
Chester,020 E BRADFORD N-1,President, ,DEM,TULSI GABBARD,2,2,0
Chester,020 E BRADFORD N-1,President, ,DEM,Write-In Totals,3,1,2
Chester,020 E BRADFORD N-1,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,222,169,53
Chester,020 E BRADFORD N-1,ATTORNEY GENERAL, ,DEM,Write-In Totals,4,1,3
Chester,020 E BRADFORD N-1,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,7,6,1
Chester,020 E BRADFORD N-1,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,12,9,3
Chester,020 E BRADFORD N-1,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,16,15,1
Chester,020 E BRADFORD N-1,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,8,5,3
Chester,020 E BRADFORD N-1,AUDITOR GENERAL, ,DEM,NINA AHMAD,92,72,20
Chester,020 E BRADFORD N-1,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,84,57,27
Chester,020 E BRADFORD N-1,AUDITOR GENERAL, ,DEM,Write-In Totals,2,1,1
Chester,020 E BRADFORD N-1,STATE TREASURER, ,DEM,JOE TORSELLA,226,171,55
Chester,020 E BRADFORD N-1,STATE TREASURER, ,DEM,Write-In Totals,1,0,1
Chester,020 E BRADFORD N-1,U.S. House,6,DEM,CHRISSY HOULAHAN,233,178,55
Chester,020 E BRADFORD N-1,U.S. House,6,DEM,Write-In Totals,2,0,2
Chester,020 E BRADFORD N-1,State House,158,DEM,CHRISTINA SAPPEY,229,173,56
Chester,020 E BRADFORD N-1,State House,158,DEM,Write-In Totals,4,2,2
Chester,020 E BRADFORD N-1,President, ,REP,DONALD J TRUMP,101,32,69
Chester,020 E BRADFORD N-1,President, ,REP,ROQUE ROCKY DE LA FUENTE,7,4,3
Chester,020 E BRADFORD N-1,President, ,REP,BILL WELD,19,12,7
Chester,020 E BRADFORD N-1,President, ,REP,Write-In Totals,11,7,4
Chester,020 E BRADFORD N-1,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,138,54,84
Chester,020 E BRADFORD N-1,ATTORNEY GENERAL, ,REP,Write-In Totals,0,0,0
Chester,020 E BRADFORD N-1,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,137,54,83
Chester,020 E BRADFORD N-1,AUDITOR GENERAL, ,REP,Write-In Totals,0,0,0
Chester,020 E BRADFORD N-1,STATE TREASURER, ,REP,STACY L GARRITY,137,54,83
Chester,020 E BRADFORD N-1,STATE TREASURER, ,REP,Write-In Totals,0,0,0
Chester,020 E BRADFORD N-1,U.S. House,6,REP,JOHN EMMONS,135,54,81
Chester,020 E BRADFORD N-1,U.S. House,6,REP,Write-In Totals,0,0,0
Chester,020 E BRADFORD N-1,State House,158,REP,ERIC ROE,140,55,85
Chester,020 E BRADFORD N-1,State House,158,REP,Write-In Totals,0,0,0
Chester,021 E BRADFORD N-2,Registered Voters, ,,Registered Voters - Total,"2,105",,
Chester,021 E BRADFORD N-2,Registered Voters, ,DEM,Registered Voters - DEMOCRATIC,760,,
Chester,021 E BRADFORD N-2,Registered Voters, ,REP,Registered Voters - REPUBLICAN,"1,012",,
Chester,021 E BRADFORD N-2,Registered Voters, ,NPA,Registered Voters - NON-PARTISAN,333,,
Chester,021 E BRADFORD N-2,Ballots Cast, , , ,804,519,285
Chester,021 E BRADFORD N-2,Ballots Cast, ,DEM, ,447,352,95
Chester,021 E BRADFORD N-2,Ballots Cast, ,REP, ,357,167,190
Chester,021 E BRADFORD N-2,Ballots Cast, ,NPA, ,0,0,0
Chester,021 E BRADFORD N-2,President, ,DEM,BERNIE SANDERS,67,51,16
Chester,021 E BRADFORD N-2,President, ,DEM,JOSEPH R BIDEN,364,289,75
Chester,021 E BRADFORD N-2,President, ,DEM,TULSI GABBARD,4,3,1
Chester,021 E BRADFORD N-2,President, ,DEM,Write-In Totals,8,7,1
Chester,021 E BRADFORD N-2,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,418,327,91
Chester,021 E BRADFORD N-2,ATTORNEY GENERAL, ,DEM,Write-In Totals,1,1,0
Chester,021 E BRADFORD N-2,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,18,16,2
Chester,021 E BRADFORD N-2,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,26,18,8
Chester,021 E BRADFORD N-2,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,22,19,3
Chester,021 E BRADFORD N-2,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,9,5,4
Chester,021 E BRADFORD N-2,AUDITOR GENERAL, ,DEM,NINA AHMAD,170,128,42
Chester,021 E BRADFORD N-2,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,152,125,27
Chester,021 E BRADFORD N-2,AUDITOR GENERAL, ,DEM,Write-In Totals,1,1,0
Chester,021 E BRADFORD N-2,STATE TREASURER, ,DEM,JOE TORSELLA,410,324,86
Chester,021 E BRADFORD N-2,STATE TREASURER, ,DEM,Write-In Totals,1,1,0
Chester,021 E BRADFORD N-2,U.S. House,6,DEM,CHRISSY HOULAHAN,437,344,93
Chester,021 E BRADFORD N-2,U.S. House,6,DEM,Write-In Totals,0,0,0
Chester,021 E BRADFORD N-2,State House,158,DEM,CHRISTINA SAPPEY,426,334,92
Chester,021 E BRADFORD N-2,State House,158,DEM,Write-In Totals,0,0,0
Chester,021 E BRADFORD N-2,President, ,REP,DONALD J TRUMP,287,113,174
Chester,021 E BRADFORD N-2,President, ,REP,ROQUE ROCKY DE LA FUENTE,7,5,2
Chester,021 E BRADFORD N-2,President, ,REP,BILL WELD,28,23,5
Chester,021 E BRADFORD N-2,President, ,REP,Write-In Totals,17,16,1
Chester,021 E BRADFORD N-2,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,333,150,183
Chester,021 E BRADFORD N-2,ATTORNEY GENERAL, ,REP,Write-In Totals,1,1,0
Chester,021 E BRADFORD N-2,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,335,153,182
Chester,021 E BRADFORD N-2,AUDITOR GENERAL, ,REP,Write-In Totals,1,1,0
Chester,021 E BRADFORD N-2,STATE TREASURER, ,REP,STACY L GARRITY,332,150,182
Chester,021 E BRADFORD N-2,STATE TREASURER, ,REP,Write-In Totals,1,1,0
Chester,021 E BRADFORD N-2,U.S. House,6,REP,JOHN EMMONS,339,155,184
Chester,021 E BRADFORD N-2,U.S. House,6,REP,Write-In Totals,1,1,0
Chester,021 E BRADFORD N-2,State House,158,REP,ERIC ROE,343,161,182
Chester,021 E BRADFORD N-2,State House,158,REP,Write-In Totals,1,0,1
Chester,023 E BRADFORD S-1,Registered Voters, ,,Registered Voters - Total,"2,743",,
Chester,023 E BRADFORD S-1,Registered Voters, ,DEM,Registered Voters - DEMOCRATIC,"1,190",,
Chester,023 E BRADFORD S-1,Registered Voters, ,REP,Registered Voters - REPUBLICAN,"1,089",,
Chester,023 E BRADFORD S-1,Registered Voters, ,NPA,Registered Voters - NON-PARTISAN,464,,
Chester,023 E BRADFORD S-1,Ballots Cast, , , ,937,611,326
Chester,023 E BRADFORD S-1,Ballots Cast, ,DEM, ,578,445,133
Chester,023 E BRADFORD S-1,Ballots Cast, ,REP, ,359,166,193
Chester,023 E BRADFORD S-1,Ballots Cast, ,NPA, ,0,0,0
Chester,023 E BRADFORD S-1,President, ,DEM,BERNIE SANDERS,77,51,26
Chester,023 E BRADFORD S-1,President, ,DEM,JOSEPH R BIDEN,486,390,96
Chester,023 E BRADFORD S-1,President, ,DEM,TULSI GABBARD,2,0,2
Chester,023 E BRADFORD S-1,President, ,DEM,Write-In Totals,10,3,7
Chester,023 E BRADFORD S-1,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,534,421,113
Chester,023 E BRADFORD S-1,ATTORNEY GENERAL, ,DEM,Write-In Totals,3,0,3
Chester,023 E BRADFORD S-1,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,16,15,1
Chester,023 E BRADFORD S-1,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,45,38,7
Chester,023 E BRADFORD S-1,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,34,27,7
Chester,023 E BRADFORD S-1,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,21,14,7
Chester,023 E BRADFORD S-1,AUDITOR GENERAL, ,DEM,NINA AHMAD,213,151,62
Chester,023 E BRADFORD S-1,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,190,160,30
Chester,023 E BRADFORD S-1,AUDITOR GENERAL, ,DEM,Write-In Totals,3,0,3
Chester,023 E BRADFORD S-1,STATE TREASURER, ,DEM,JOE TORSELLA,518,404,114
Chester,023 E BRADFORD S-1,STATE TREASURER, ,DEM,Write-In Totals,3,0,3
Chester,023 E BRADFORD S-1,U.S. House,6,DEM,CHRISSY HOULAHAN,557,438,119
Chester,023 E BRADFORD S-1,U.S. House,6,DEM,Write-In Totals,6,1,5
Chester,023 E BRADFORD S-1,State House,158,DEM,CHRISTINA SAPPEY,543,425,118
Chester,023 E BRADFORD S-1,State House,158,DEM,Write-In Totals,3,0,3
Chester,023 E BRADFORD S-1,President, ,REP,DONALD J TRUMP,271,107,164
Chester,023 E BRADFORD S-1,President, ,REP,ROQUE ROCKY DE LA FUENTE,13,8,5
Chester,023 E BRADFORD S-1,President, ,REP,BILL WELD,34,22,12
Chester,023 E BRADFORD S-1,President, ,REP,Write-In Totals,20,14,6
Chester,023 E BRADFORD S-1,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,321,143,178
Chester,023 E BRADFORD S-1,ATTORNEY GENERAL, ,REP,Write-In Totals,10,8,2
Chester,023 E BRADFORD S-1,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,320,143,177
Chester,023 E BRADFORD S-1,AUDITOR GENERAL, ,REP,Write-In Totals,9,7,2
Chester,023 E BRADFORD S-1,STATE TREASURER, ,REP,STACY L GARRITY,321,143,178
Chester,023 E BRADFORD S-1,STATE TREASURER, ,REP,Write-In Totals,8,7,1
Chester,023 E BRADFORD S-1,U.S. House,6,REP,JOHN EMMONS,321,141,180
Chester,023 E BRADFORD S-1,U.S. House,6,REP,Write-In Totals,7,6,1
Chester,023 E BRADFORD S-1,State House,158,REP,ERIC ROE,325,145,180
Chester,023 E BRADFORD S-1,State House,158,REP,Write-In Totals,8,6,2
Chester,024 E BRADFORD S-2,Registered Voters, ,,Registered Voters - Total,"1,667",,
Chester,024 E BRADFORD S-2,Registered Voters, ,DEM,Registered Voters - DEMOCRATIC,551,,
Chester,024 E BRADFORD S-2,Registered Voters, ,REP,Registered Voters - REPUBLICAN,880,,
Chester,024 E BRADFORD S-2,Registered Voters, ,NPA,Registered Voters - NON-PARTISAN,236,,
Chester,024 E BRADFORD S-2,Ballots Cast, , , ,593,381,212
Chester,024 E BRADFORD S-2,Ballots Cast, ,DEM, ,305,250,55
Chester,024 E BRADFORD S-2,Ballots Cast, ,REP, ,288,131,157
Chester,024 E BRADFORD S-2,Ballots Cast, ,NPA, ,0,0,0
Chester,024 E BRADFORD S-2,President, ,DEM,BERNIE SANDERS,30,17,13
Chester,024 E BRADFORD S-2,President, ,DEM,JOSEPH R BIDEN,257,221,36
Chester,024 E BRADFORD S-2,President, ,DEM,TULSI GABBARD,6,4,2
Chester,024 E BRADFORD S-2,President, ,DEM,Write-In Totals,7,4,3
Chester,024 E BRADFORD S-2,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,274,229,45
Chester,024 E BRADFORD S-2,ATTORNEY GENERAL, ,DEM,Write-In Totals,3,1,2
Chester,024 E BRADFORD S-2,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,12,8,4
Chester,024 E BRADFORD S-2,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,17,16,1
Chester,024 E BRADFORD S-2,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,22,19,3
Chester,024 E BRADFORD S-2,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,13,7,6
Chester,024 E BRADFORD S-2,AUDITOR GENERAL, ,DEM,NINA AHMAD,87,68,19
