county,precinct,office,district,party,candidate,election_day,mail_in,provisional,votes
Cambria,ADAMS TOWNSHIP NO. 1,State Treasurer,,DEM,Write-In,0,0,0,0
Cambria,ADAMS TOWNSHIP NO. 1,U.S. House,15,DEM,Robert Williams,71,82,1,154
Cambria,ADAMS TOWNSHIP NO. 1,U.S. House,15,DEM,Write-In,1,1,0,2
Cambria,ADAMS TOWNSHIP NO. 1,State Senate,35,DEM,Shaun Dougherty,68,88,1,157
Cambria,ADAMS TOWNSHIP NO. 1,State Senate,35,DEM,Write-In,3,0,0,3
Cambria,ADAMS TOWNSHIP NO. 1,General Assembly,71,DEM,Write-In,6,10,0,16
Cambria,ADAMS TOWNSHIP NO. 1,President,,REP,Donald J. Trump,164,36,1,201
Cambria,ADAMS TOWNSHIP NO. 1,President,,REP,Roque Rocky De La Fuente,0,1,0,1
Cambria,ADAMS TOWNSHIP NO. 1,President,,REP,Bill Weld,2,5,0,7
Cambria,ADAMS TOWNSHIP NO. 1,President,,REP,Write-In,2,3,0,5
Cambria,ADAMS TOWNSHIP NO. 1,Attorney General,,REP,Heather Heidelbaugh,161,34,1,196
Cambria,ADAMS TOWNSHIP NO. 1,Attorney General,,REP,Write-In,0,1,0,1
Cambria,ADAMS TOWNSHIP NO. 1,Auditor General,,REP,Timothy Defoor,156,33,1,190
Cambria,ADAMS TOWNSHIP NO. 1,Auditor General,,REP,Write-In,0,0,0,0
Cambria,ADAMS TOWNSHIP NO. 1,State Treasurer,,REP,Stacy L. Garrity,158,34,1,193
Cambria,ADAMS TOWNSHIP NO. 1,State Treasurer,,REP,Write-In,0,0,0,0
Cambria,ADAMS TOWNSHIP NO. 1,U.S. House,15,REP,Glenn Gt Thompson,157,39,1,197
Cambria,ADAMS TOWNSHIP NO. 1,U.S. House,15,REP,Write-In,1,0,0,1
Cambria,ADAMS TOWNSHIP NO. 1,State Senate,35,REP,Wayne Langerholc Jr.,164,46,1,211
Cambria,ADAMS TOWNSHIP NO. 1,State Senate,35,REP,Write-In,1,0,0,1
Cambria,ADAMS TOWNSHIP NO. 1,General Assembly,71,REP,Jim Rigby,163,44,1,208
Cambria,ADAMS TOWNSHIP NO. 1,General Assembly,71,REP,Write-In,1,0,0,1
Cambria,ADAMS TOWNSHIP - DUNLO,Registered Voters,,,,,,,512
Cambria,ADAMS TOWNSHIP - DUNLO,Registered Voters,,DEM,,,,,254
Cambria,ADAMS TOWNSHIP - DUNLO,Registered Voters,,REP,,,,,208
Cambria,ADAMS TOWNSHIP - DUNLO,Ballots Cast,,,,115,59,0,174
Cambria,ADAMS TOWNSHIP - DUNLO,Ballots Cast,,DEM,,50,41,0,91
Cambria,ADAMS TOWNSHIP - DUNLO,Ballots Cast,,REP,,65,18,0,83
Cambria,ADAMS TOWNSHIP - DUNLO,President,,DEM,Bernie Sanders,5,5,0,10
Cambria,ADAMS TOWNSHIP - DUNLO,President,,DEM,Joseph R. Biden,20,28,0,48
Cambria,ADAMS TOWNSHIP - DUNLO,President,,DEM,Tulsi Gabbard,5,5,0,10
Cambria,ADAMS TOWNSHIP - DUNLO,President,,DEM,Write-In,11,3,0,14
Cambria,ADAMS TOWNSHIP - DUNLO,Attorney General,,DEM,Josh Shapiro,42,34,0,76
Cambria,ADAMS TOWNSHIP - DUNLO,Attorney General,,DEM,Write-In,3,0,0,3
Cambria,ADAMS TOWNSHIP - DUNLO,Auditor General,,DEM,H. Scott Conklin,32,18,0,50
Cambria,ADAMS TOWNSHIP - DUNLO,Auditor General,,DEM,Michael Lamb,6,12,0,18
Cambria,ADAMS TOWNSHIP - DUNLO,Auditor General,,DEM,Tracie Fountain,1,1,0,2
Cambria,ADAMS TOWNSHIP - DUNLO,Auditor General,,DEM,Rose Rosie Marie Davis,2,0,0,2
Cambria,ADAMS TOWNSHIP - DUNLO,Auditor General,,DEM,Nina Ahmad,0,3,0,3
Cambria,ADAMS TOWNSHIP - DUNLO,Auditor General,,DEM,Christina M. Hartman,4,3,0,7
Cambria,ADAMS TOWNSHIP - DUNLO,Auditor General,,DEM,Write-In,3,0,0,3
Cambria,ADAMS TOWNSHIP - DUNLO,State Treasurer,,DEM,Joe Torsella,39,34,0,73
Cambria,ADAMS TOWNSHIP - DUNLO,State Treasurer,,DEM,Write-In,4,0,0,4
Cambria,ADAMS TOWNSHIP - DUNLO,U.S. House,15,DEM,Robert Williams,39,33,0,72
Cambria,ADAMS TOWNSHIP - DUNLO,U.S. House,15,DEM,Write-In,5,1,0,6
Cambria,ADAMS TOWNSHIP - DUNLO,State Senate,35,DEM,Shaun Dougherty,42,34,0,76
Cambria,ADAMS TOWNSHIP - DUNLO,State Senate,35,DEM,Write-In,4,0,0,4
Cambria,ADAMS TOWNSHIP - DUNLO,General Assembly,71,DEM,Write-In,10,4,0,14
Cambria,ADAMS TOWNSHIP - DUNLO,President,,REP,Donald J. Trump,64,17,0,81
Cambria,ADAMS TOWNSHIP - DUNLO,President,,REP,Roque Rocky De La Fuente,0,0,0,0
Cambria,ADAMS TOWNSHIP - DUNLO,President,,REP,Bill Weld,0,1,0,1
Cambria,ADAMS TOWNSHIP - DUNLO,President,,REP,Write-In,0,0,0,0
Cambria,ADAMS TOWNSHIP - DUNLO,Attorney General,,REP,Heather Heidelbaugh,57,15,0,72
Cambria,ADAMS TOWNSHIP - DUNLO,Attorney General,,REP,Write-In,2,0,0,2
Cambria,ADAMS TOWNSHIP - DUNLO,Auditor General,,REP,Timothy Defoor,56,15,0,71
Cambria,ADAMS TOWNSHIP - DUNLO,Auditor General,,REP,Write-In,2,0,0,2
Cambria,ADAMS TOWNSHIP - DUNLO,State Treasurer,,REP,Stacy L. Garrity,59,15,0,74
Cambria,ADAMS TOWNSHIP - DUNLO,State Treasurer,,REP,Write-In,0,0,0,0
Cambria,ADAMS TOWNSHIP - DUNLO,U.S. House,15,REP,Glenn Gt Thompson,62,15,0,77
Cambria,ADAMS TOWNSHIP - DUNLO,U.S. House,15,REP,Write-In,0,0,0,0
Cambria,ADAMS TOWNSHIP - DUNLO,State Senate,35,REP,Wayne Langerholc Jr.,63,15,0,78
Cambria,ADAMS TOWNSHIP - DUNLO,State Senate,35,REP,Write-In,0,0,0,0
Cambria,ADAMS TOWNSHIP - DUNLO,General Assembly,71,REP,Jim Rigby,63,16,0,79
Cambria,ADAMS TOWNSHIP - DUNLO,General Assembly,71,REP,Write-In,0,0,0,0
Cambria,ADAMS TOWNSHIP - ELTON,Registered Voters,,,,,,,1070
Cambria,ADAMS TOWNSHIP - ELTON,Registered Voters,,DEM,,,,,381
Cambria,ADAMS TOWNSHIP - ELTON,Registered Voters,,REP,,,,,597
Cambria,ADAMS TOWNSHIP - ELTON,Ballots Cast,,,,222,179,8,409
Cambria,ADAMS TOWNSHIP - ELTON,Ballots Cast,,DEM,,52,96,1,149
Cambria,ADAMS TOWNSHIP - ELTON,Ballots Cast,,REP,,170,83,7,260
Cambria,ADAMS TOWNSHIP - ELTON,President,,DEM,Bernie Sanders,8,8,1,17
Cambria,ADAMS TOWNSHIP - ELTON,President,,DEM,Joseph R. Biden,32,68,0,100
Cambria,ADAMS TOWNSHIP - ELTON,President,,DEM,Tulsi Gabbard,1,9,0,10
Cambria,ADAMS TOWNSHIP - ELTON,President,,DEM,Write-In,7,9,0,16
Cambria,ADAMS TOWNSHIP - ELTON,Attorney General,,DEM,Josh Shapiro,47,93,1,141
Cambria,ADAMS TOWNSHIP - ELTON,Attorney General,,DEM,Write-In,0,1,0,1
Cambria,ADAMS TOWNSHIP - ELTON,Auditor General,,DEM,H. Scott Conklin,22,50,1,73
Cambria,ADAMS TOWNSHIP - ELTON,Auditor General,,DEM,Michael Lamb,16,32,0,48
Cambria,ADAMS TOWNSHIP - ELTON,Auditor General,,DEM,Tracie Fountain,0,1,0,1
Cambria,ADAMS TOWNSHIP - ELTON,Auditor General,,DEM,Rose Rosie Marie Davis,3,2,0,5
Cambria,ADAMS TOWNSHIP - ELTON,Auditor General,,DEM,Nina Ahmad,3,2,0,5
Cambria,ADAMS TOWNSHIP - ELTON,Auditor General,,DEM,Christina M. Hartman,5,5,0,10
Cambria,ADAMS TOWNSHIP - ELTON,Auditor General,,DEM,Write-In,0,1,0,1
Cambria,ADAMS TOWNSHIP - ELTON,State Treasurer,,DEM,Joe Torsella,47,90,1,138
Cambria,ADAMS TOWNSHIP - ELTON,State Treasurer,,DEM,Write-In,0,1,0,1
Cambria,ADAMS TOWNSHIP - ELTON,U.S. House,15,DEM,Robert Williams,46,94,1,141
Cambria,ADAMS TOWNSHIP - ELTON,U.S. House,15,DEM,Write-In,0,1,0,1
Cambria,ADAMS TOWNSHIP - ELTON,State Senate,35,DEM,Shaun Dougherty,50,92,1,143
Cambria,ADAMS TOWNSHIP - ELTON,State Senate,35,DEM,Write-In,0,1,0,1
Cambria,ADAMS TOWNSHIP - ELTON,General Assembly,71,DEM,Write-In,4,5,0,9
Cambria,ADAMS TOWNSHIP - ELTON,President,,REP,Donald J. Trump,169,74,7,250
Cambria,ADAMS TOWNSHIP - ELTON,President,,REP,Roque Rocky De La Fuente,0,0,0,0
Cambria,ADAMS TOWNSHIP - ELTON,President,,REP,Bill Weld,0,6,0,6
Cambria,ADAMS TOWNSHIP - ELTON,President,,REP,Write-In,0,1,0,1
Cambria,ADAMS TOWNSHIP - ELTON,Attorney General,,REP,Heather Heidelbaugh,160,78,7,245
Cambria,ADAMS TOWNSHIP - ELTON,Attorney General,,REP,Write-In,0,0,0,0
Cambria,ADAMS TOWNSHIP - ELTON,Auditor General,,REP,Timothy Defoor,160,78,7,245
Cambria,ADAMS TOWNSHIP - ELTON,Auditor General,,REP,Write-In,1,0,0,1
Cambria,ADAMS TOWNSHIP - ELTON,State Treasurer,,REP,Stacy L. Garrity,163,78,7,248
Cambria,ADAMS TOWNSHIP - ELTON,State Treasurer,,REP,Write-In,0,0,0,0
Cambria,ADAMS TOWNSHIP - ELTON,U.S. House,15,REP,Glenn Gt Thompson,162,78,7,247
Cambria,ADAMS TOWNSHIP - ELTON,U.S. House,15,REP,Write-In,0,1,0,1
Cambria,ADAMS TOWNSHIP - ELTON,State Senate,35,REP,Wayne Langerholc Jr.,168,80,7,255
Cambria,ADAMS TOWNSHIP - ELTON,State Senate,35,REP,Write-In,1,2,0,3
Cambria,ADAMS TOWNSHIP - ELTON,General Assembly,71,REP,Jim Rigby,164,81,7,252
Cambria,ADAMS TOWNSHIP - ELTON,General Assembly,71,REP,Write-In,0,0,0,0
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,Registered Voters,,,,,,,593
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,Registered Voters,,DEM,,,,,212
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,Registered Voters,,REP,,,,,340
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,Ballots Cast,,,,152,78,3,233
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,Ballots Cast,,DEM,,39,34,1,74
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,Ballots Cast,,REP,,113,44,2,159
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,President,,DEM,Bernie Sanders,9,2,0,11
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,President,,DEM,Joseph R. Biden,14,28,0,42
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,President,,DEM,Tulsi Gabbard,6,0,0,6
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,President,,DEM,Write-In,8,4,1,13
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,Attorney General,,DEM,Josh Shapiro,33,32,1,66
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,Attorney General,,DEM,Write-In,1,1,0,2
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,Auditor General,,DEM,H. Scott Conklin,23,20,0,43
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,Auditor General,,DEM,Michael Lamb,3,8,0,11
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,Auditor General,,DEM,Tracie Fountain,0,2,0,2
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,Auditor General,,DEM,Rose Rosie Marie Davis,0,0,0,0
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,Auditor General,,DEM,Nina Ahmad,3,0,0,3
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,Auditor General,,DEM,Christina M. Hartman,5,2,1,8
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,Auditor General,,DEM,Write-In,1,1,0,2
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,State Treasurer,,DEM,Joe Torsella,32,32,1,65
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,State Treasurer,,DEM,Write-In,1,0,0,1
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,U.S. House,15,DEM,Robert Williams,32,31,1,64
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,U.S. House,15,DEM,Write-In,1,1,0,2
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,State Senate,35,DEM,Shaun Dougherty,34,31,1,66
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,State Senate,35,DEM,Write-In,1,2,0,3
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,General Assembly,71,DEM,Write-In,3,7,0,10
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,President,,REP,Donald J. Trump,109,34,2,145
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,President,,REP,Roque Rocky De La Fuente,2,2,0,4
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,President,,REP,Bill Weld,2,5,0,7
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,President,,REP,Write-In,0,1,0,1
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,Attorney General,,REP,Heather Heidelbaugh,90,37,1,128
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,Attorney General,,REP,Write-In,2,1,0,3
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,Auditor General,,REP,Timothy Defoor,90,35,2,127
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,Auditor General,,REP,Write-In,1,3,0,4
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,State Treasurer,,REP,Stacy L. Garrity,95,38,2,135
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,State Treasurer,,REP,Write-In,1,0,0,1
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,U.S. House,15,REP,Glenn Gt Thompson,95,39,2,136
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,U.S. House,15,REP,Write-In,2,0,0,2
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,State Senate,35,REP,Wayne Langerholc Jr.,105,42,2,149
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,State Senate,35,REP,Write-In,0,0,0,0
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,General Assembly,71,REP,Jim Rigby,105,42,2,149
Cambria,ADAMS TOWNSHIP- - GRAMLINGTOWN,General Assembly,71,REP,Write-In,1,0,0,1
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,Registered Voters,,,,,,,702
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,Registered Voters,,DEM,,,,,358
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,Registered Voters,,REP,,,,,280
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,Ballots Cast,,,,156,104,2,262
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,Ballots Cast,,DEM,,87,72,0,159
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,Ballots Cast,,REP,,69,32,2,103
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,President,,DEM,Bernie Sanders,17,8,0,25
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,President,,DEM,Joseph R. Biden,46,56,0,102
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,President,,DEM,Tulsi Gabbard,14,2,0,16
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,President,,DEM,Write-In,6,1,0,7
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,Attorney General,,DEM,Josh Shapiro,82,72,0,154
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,Attorney General,,DEM,Write-In,1,0,0,1
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,Auditor General,,DEM,H. Scott Conklin,44,46,0,90
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,Auditor General,,DEM,Michael Lamb,19,18,0,37
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,Auditor General,,DEM,Tracie Fountain,1,4,0,5
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,Auditor General,,DEM,Rose Rosie Marie Davis,6,1,0,7
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,Auditor General,,DEM,Nina Ahmad,0,1,0,1
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,Auditor General,,DEM,Christina M. Hartman,15,2,0,17
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,Auditor General,,DEM,Write-In,0,0,0,0
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,State Treasurer,,DEM,Joe Torsella,79,69,0,148
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,State Treasurer,,DEM,Write-In,0,0,0,0
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,U.S. House,15,DEM,Robert Williams,77,69,0,146
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,U.S. House,15,DEM,Write-In,1,0,0,1
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,State Senate,35,DEM,Shaun Dougherty,83,69,0,152
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,State Senate,35,DEM,Write-In,1,0,0,1
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,General Assembly,71,DEM,Write-In,8,3,0,11
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,President,,REP,Donald J. Trump,66,32,2,100
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,President,,REP,Roque Rocky De La Fuente,0,0,0,0
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,President,,REP,Bill Weld,2,0,0,2
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,President,,REP,Write-In,0,0,0,0
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,Attorney General,,REP,Heather Heidelbaugh,65,32,2,99
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,Attorney General,,REP,Write-In,0,0,0,0
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,Auditor General,,REP,Timothy Defoor,63,32,2,97
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,Auditor General,,REP,Write-In,0,0,0,0
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,State Treasurer,,REP,Stacy L. Garrity,63,32,2,97
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,State Treasurer,,REP,Write-In,0,0,0,0
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,U.S. House,15,REP,Glenn Gt Thompson,64,32,2,98
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,U.S. House,15,REP,Write-In,0,0,0,0
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,State Senate,35,REP,Wayne Langerholc Jr.,65,32,2,99
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,State Senate,35,REP,Write-In,0,0,0,0
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,General Assembly,71,REP,Jim Rigby,64,31,2,97
Cambria,ADAMS TOWNSHIP - ST. MICHAEL,General Assembly,71,REP,Write-In,0,0,0,0
Cambria,ALLEGHENY TOWNSHIP,Registered Voters,,,,,,,1117
Cambria,ALLEGHENY TOWNSHIP,Registered Voters,,DEM,,,,,450
Cambria,ALLEGHENY TOWNSHIP,Registered Voters,,REP,,,,,566
Cambria,ALLEGHENY TOWNSHIP,Ballots Cast,,,,221,160,5,386
Cambria,ALLEGHENY TOWNSHIP,Ballots Cast,,DEM,,83,102,3,188
Cambria,ALLEGHENY TOWNSHIP,Ballots Cast,,REP,,138,58,2,198
Cambria,ALLEGHENY TOWNSHIP,President,,DEM,Bernie Sanders,14,17,1,32
Cambria,ALLEGHENY TOWNSHIP,President,,DEM,Joseph R. Biden,36,66,1,103
Cambria,ALLEGHENY TOWNSHIP,President,,DEM,Tulsi Gabbard,12,7,0,19
Cambria,ALLEGHENY TOWNSHIP,President,,DEM,Write-In,12,5,1,18
Cambria,ALLEGHENY TOWNSHIP,Attorney General,,DEM,Josh Shapiro,68,80,3,151
Cambria,ALLEGHENY TOWNSHIP,Attorney General,,DEM,Write-In,0,1,0,1
Cambria,ALLEGHENY TOWNSHIP,Auditor General,,DEM,H. Scott Conklin,43,58,2,103
Cambria,ALLEGHENY TOWNSHIP,Auditor General,,DEM,Michael Lamb,18,14,1,33
Cambria,ALLEGHENY TOWNSHIP,Auditor General,,DEM,Tracie Fountain,2,2,0,4
Cambria,ALLEGHENY TOWNSHIP,Auditor General,,DEM,Rose Rosie Marie Davis,2,4,0,6
Cambria,ALLEGHENY TOWNSHIP,Auditor General,,DEM,Nina Ahmad,2,7,0,9
Cambria,ALLEGHENY TOWNSHIP,Auditor General,,DEM,Christina M. Hartman,8,7,0,15
Cambria,ALLEGHENY TOWNSHIP,Auditor General,,DEM,Write-In,0,0,0,0
Cambria,ALLEGHENY TOWNSHIP,State Treasurer,,DEM,Joe Torsella,68,86,2,156
Cambria,ALLEGHENY TOWNSHIP,State Treasurer,,DEM,Write-In,0,1,0,1
Cambria,ALLEGHENY TOWNSHIP,U.S. House,15,DEM,Robert Williams,69,86,3,158
Cambria,ALLEGHENY TOWNSHIP,U.S. House,15,DEM,Write-In,1,1,0,2
Cambria,ALLEGHENY TOWNSHIP,State Senate,35,DEM,Shaun Dougherty,67,87,3,157
Cambria,ALLEGHENY TOWNSHIP,State Senate,35,DEM,Write-In,0,0,0,0
Cambria,ALLEGHENY TOWNSHIP,General Assembly,72,DEM,Frank Burns,71,91,2,164
Cambria,ALLEGHENY TOWNSHIP,General Assembly,72,DEM,Write-In,2,0,1,3
Cambria,ALLEGHENY TOWNSHIP,President,,REP,Donald J. Trump,137,52,2,191
Cambria,ALLEGHENY TOWNSHIP,President,,REP,Roque Rocky De La Fuente,0,1,0,1
Cambria,ALLEGHENY TOWNSHIP,President,,REP,Bill Weld,0,2,0,2
Cambria,ALLEGHENY TOWNSHIP,President,,REP,Write-In,1,2,0,3
Cambria,ALLEGHENY TOWNSHIP,Attorney General,,REP,Heather Heidelbaugh,125,56,2,183
Cambria,ALLEGHENY TOWNSHIP,Attorney General,,REP,Write-In,1,0,0,1
Cambria,ALLEGHENY TOWNSHIP,Auditor General,,REP,Timothy Defoor,123,56,2,181
Cambria,ALLEGHENY TOWNSHIP,Auditor General,,REP,Write-In,0,0,0,0
Cambria,ALLEGHENY TOWNSHIP,State Treasurer,,REP,Stacy L. Garrity,123,56,2,181
Cambria,ALLEGHENY TOWNSHIP,State Treasurer,,REP,Write-In,0,0,0,0
Cambria,ALLEGHENY TOWNSHIP,U.S. House,15,REP,Glenn Gt Thompson,120,58,2,180
Cambria,ALLEGHENY TOWNSHIP,U.S. House,15,REP,Write-In,1,0,0,1
Cambria,ALLEGHENY TOWNSHIP,State Senate,35,REP,Wayne Langerholc Jr.,122,54,2,178
Cambria,ALLEGHENY TOWNSHIP,State Senate,35,REP,Write-In,0,0,0,0
Cambria,ALLEGHENY TOWNSHIP,General Assembly,72,REP,Howard Terndrup,79,38,2,119
Cambria,ALLEGHENY TOWNSHIP,General Assembly,72,REP,Jerry Carnicella,49,16,0,65
Cambria,ALLEGHENY TOWNSHIP,General Assembly,72,REP,Write-In,4,1,0,5
Cambria,ASHVILLE BOROUGH,Registered Voters,,,,,,,156
Cambria,ASHVILLE BOROUGH,Registered Voters,,DEM,,,,,71
Cambria,ASHVILLE BOROUGH,Registered Voters,,REP,,,,,58
Cambria,ASHVILLE BOROUGH,Ballots Cast,,,,38,14,0,52
Cambria,ASHVILLE BOROUGH,Ballots Cast,,DEM,,16,12,0,28
Cambria,ASHVILLE BOROUGH,Ballots Cast,,REP,,22,2,0,24
Cambria,ASHVILLE BOROUGH,President,,DEM,Bernie Sanders,4,5,0,9
Cambria,ASHVILLE BOROUGH,President,,DEM,Joseph R. Biden,4,7,0,11
Cambria,ASHVILLE BOROUGH,President,,DEM,Tulsi Gabbard,4,0,0,4
Cambria,ASHVILLE BOROUGH,President,,DEM,Write-In,2,0,0,2
Cambria,ASHVILLE BOROUGH,Attorney General,,DEM,Josh Shapiro,12,11,0,23
Cambria,ASHVILLE BOROUGH,Attorney General,,DEM,Write-In,0,0,0,0
Cambria,ASHVILLE BOROUGH,Auditor General,,DEM,H. Scott Conklin,9,9,0,18
Cambria,ASHVILLE BOROUGH,Auditor General,,DEM,Michael Lamb,2,2,0,4
Cambria,ASHVILLE BOROUGH,Auditor General,,DEM,Tracie Fountain,1,0,0,1
Cambria,ASHVILLE BOROUGH,Auditor General,,DEM,Rose Rosie Marie Davis,1,0,0,1
Cambria,ASHVILLE BOROUGH,Auditor General,,DEM,Nina Ahmad,1,0,0,1
Cambria,ASHVILLE BOROUGH,Auditor General,,DEM,Christina M. Hartman,1,1,0,2
Cambria,ASHVILLE BOROUGH,Auditor General,,DEM,Write-In,0,0,0,0
Cambria,ASHVILLE BOROUGH,State Treasurer,,DEM,Joe Torsella,13,12,0,25
Cambria,ASHVILLE BOROUGH,State Treasurer,,DEM,Write-In,0,0,0,0
Cambria,ASHVILLE BOROUGH,U.S. House,15,DEM,Robert Williams,14,12,0,26
